iso,ms,ev,dist,rssi,off,rtt,seq,golat
2026-09-22T12:48:58.047Z,1790081338047.0,ping,0,0,-1790081214054.985,470.00,,
2026-09-22T12:48:58.092Z,1790081338091.0,ping,0,0,-1790081214054.985,262.00,,
2026-09-22T12:48:58.095Z,1790081338094.0,ping,0,0,-1790081214054.985,12.00,,
2026-09-22T12:48:58.349Z,1790081338348.0,ping,0,0,-1790081214054.985,14.00,,
2026-09-22T12:48:58.593Z,1790081338593.0,ping,0,0,-1790081214054.985,8.00,,
2026-09-22T12:48:58.943Z,1790081338942.0,ping,0,0,-1790081214054.985,104.00,,
2026-09-22T12:48:59.097Z,1790081339096.0,ping,0,0,-1790081214054.985,6.00,,
2026-09-22T12:48:59.366Z,1790081339365.0,ping,0,0,-1790081214054.985,23.00,,
2026-09-22T12:48:59.605Z,1790081339604.0,ping,0,0,-1790081214054.985,10.00,,
2026-09-22T12:48:59.993Z,1790081339992.0,ping,0,0,-1790081214054.985,146.00,,
2026-09-22T12:49:00.104Z,1790081340103.0,ping,0,0,-1790081214054.485,5.00,,
2026-09-22T12:49:00.444Z,1790081340444.0,ping,0,0,-1790081214054.485,93.00,,
2026-09-22T12:49:00.609Z,1790081340608.0,ping,0,0,-1790081214054.485,7.00,,
2026-09-22T12:49:00.862Z,1790081340861.0,ping,0,0,-1790081214054.485,7.00,,
2026-09-22T12:49:01.036Z,1790081341036.0,go,0,0,-1790081214054.485,,25,18.04
2026-09-22T12:49:03.137Z,1790081343136.0,ping,0,0,-1790081214054.485,2031.00,,
2026-09-22T12:49:03.140Z,1790081343139.0,ping,0,0,-1790081214054.485,1782.00,,
2026-09-22T12:49:03.140Z,1790081343140.0,ping,0,0,-1790081214054.485,1530.00,,
2026-09-22T12:49:03.141Z,1790081343140.0,ping,0,0,-1790081214054.485,1278.00,,
2026-09-22T12:49:03.141Z,1790081343140.0,ping,0,0,-1790081214054.485,1027.00,,
2026-09-22T12:49:03.141Z,1790081343140.0,ping,0,0,-1790081214054.485,774.00,,
2026-09-22T12:49:03.142Z,1790081343141.0,ping,0,0,-1790081214054.485,523.00,,
2026-09-22T12:49:03.142Z,1790081343141.0,ping,0,0,-1790081214054.485,271.00,,
2026-09-22T12:49:03.145Z,1790081343144.0,ping,0,0,-1790081214054.485,22.00,,
2026-09-22T12:49:03.382Z,1790081343381.0,ping,0,0,-1790081214054.485,8.00,,
2026-09-22T12:49:03.633Z,1790081343632.0,ping,0,0,-1790081214054.485,6.00,,
2026-09-22T12:49:03.887Z,1790081343886.0,ping,0,0,-1790081214054.485,8.00,,
2026-09-22T12:49:04.190Z,1790081344189.0,ping,0,0,-1790081214054.485,59.00,,
2026-09-22T12:49:04.392Z,1790081344392.0,ping,0,0,-1790081214054.485,10.00,,
2026-09-22T12:49:04.641Z,1790081344640.0,ping,0,0,-1790081214054.485,7.00,,
2026-09-22T12:49:04.918Z,1790081344918.0,ping,0,0,-1790081214054.485,32.00,,
2026-09-22T12:49:05.235Z,1790081345235.0,ping,0,0,-1790081214054.485,97.00,,
2026-09-22T12:49:05.404Z,1790081345403.0,ping,0,0,-1790081214054.485,14.00,,
2026-09-22T12:49:05.653Z,1790081345652.0,ping,0,0,-1790081214054.485,10.00,,
2026-09-22T12:49:05.920Z,1790081345920.0,ping,0,0,-1790081214054.485,26.00,,
2026-09-22T12:49:06.155Z,1790081346155.0,go,0,0,-1790081214054.485,,26,137.04
2026-09-22T12:49:08.030Z,1790081348029.0,ping,0,0,-1790081214054.485,1883.00,,
2026-09-22T12:49:08.034Z,1790081348033.0,ping,0,0,-1790081214054.485,1635.00,,
2026-09-22T12:49:08.039Z,1790081348038.0,ping,0,0,-1790081214054.485,1388.00,,
2026-09-22T12:49:08.039Z,1790081348038.0,ping,0,0,-1790081214054.485,1137.00,,
2026-09-22T12:49:08.064Z,1790081348063.0,ping,0,0,-1790081214054.485,909.00,,
2026-09-22T12:49:08.066Z,1790081348065.0,ping,0,0,-1790081214054.485,660.00,,
2026-09-22T12:49:08.066Z,1790081348066.0,ping,0,0,-1790081214054.485,409.00,,
2026-09-22T12:49:08.175Z,1790081348175.0,ping,0,0,-1790081214054.485,265.00,,
2026-09-22T12:49:08.180Z,1790081348179.0,ping,0,0,-1790081214054.485,17.00,,
2026-09-22T12:49:08.451Z,1790081348450.0,ping,0,0,-1790081214054.485,36.00,,
2026-09-22T12:49:08.701Z,1790081348700.0,ping,0,0,-1790081214054.485,34.00,,
2026-09-22T12:49:08.925Z,1790081348924.0,ping,0,0,-1790081214054.485,6.00,,
2026-09-22T12:49:09.195Z,1790081349194.0,ping,0,0,-1790081214054.485,25.00,,
2026-09-22T12:49:09.461Z,1790081349460.0,ping,0,0,-1790081214054.485,38.00,,
2026-09-22T12:49:09.708Z,1790081349708.0,ping,0,0,-1790081214054.485,34.00,,
2026-09-22T12:49:09.959Z,1790081349958.0,ping,0,0,-1790081214054.485,33.00,,
2026-09-22T12:49:10.186Z,1790081350186.0,ping,0,0,-1790081214054.485,8.00,,
2026-09-22T12:49:10.485Z,1790081350484.0,ping,0,0,-1790081214054.485,54.00,,
2026-09-22T12:49:10.690Z,1790081350689.0,ping,0,0,-1790081214054.485,7.00,,
2026-09-22T12:49:10.943Z,1790081350942.0,ping,0,0,-1790081214054.485,8.00,,
2026-09-22T12:49:11.048Z,1790081351048.0,go,0,0,-1790081214054.485,,27,28.04
2026-09-22T12:49:13.029Z,1790081353028.0,ping,0,0,-1790081214054.485,1842.00,,
2026-09-22T12:49:13.031Z,1790081353030.0,ping,0,0,-1790081214054.485,1593.00,,
2026-09-22T12:49:13.034Z,1790081353033.0,ping,0,0,-1790081214054.485,1344.00,,
2026-09-22T12:49:13.037Z,1790081353036.0,ping,0,0,-1790081214054.485,1094.00,,
2026-09-22T12:49:13.040Z,1790081353039.0,ping,0,0,-1790081214054.485,846.00,,
2026-09-22T12:49:13.043Z,1790081353042.0,ping,0,0,-1790081214054.485,596.00,,
2026-09-22T12:49:13.047Z,1790081353046.0,ping,0,0,-1790081214054.485,348.00,,
2026-09-22T12:49:13.219Z,1790081353218.0,ping,0,0,-1790081214054.485,268.00,,
2026-09-22T12:49:13.220Z,1790081353220.0,ping,0,0,-1790081214054.485,18.00,,
2026-09-22T12:49:13.496Z,1790081353495.0,ping,0,0,-1790081214054.485,41.00,,
2026-09-22T12:49:13.713Z,1790081353712.0,ping,0,0,-1790081214054.485,7.00,,
2026-09-22T12:49:13.965Z,1790081353964.0,ping,0,0,-1790081214054.485,7.00,,
2026-09-22T12:49:14.230Z,1790081354229.0,ping,0,0,-1790081214054.485,18.00,,
2026-09-22T12:49:14.473Z,1790081354472.0,ping,0,0,-1790081214054.485,10.00,,
2026-09-22T12:49:14.743Z,1790081354742.0,ping,0,0,-1790081214054.485,27.00,,
2026-09-22T12:49:14.977Z,1790081354976.0,ping,0,0,-1790081214054.485,10.00,,
2026-09-22T12:49:15.243Z,1790081355242.0,ping,0,0,-1790081214054.984,25.00,,
2026-09-22T12:49:15.479Z,1790081355478.0,ping,0,0,-1790081214054.984,8.00,,
2026-09-22T12:49:15.772Z,1790081355772.0,ping,0,0,-1790081214054.984,50.00,,
2026-09-22T12:49:15.979Z,1790081355979.0,ping,0,0,-1790081214054.984,6.00,,
2026-09-22T12:49:16.028Z,1790081356028.0,go,0,0,-1790081214054.984,,28,9.54
2026-09-22T12:49:18.029Z,1790081358028.0,ping,0,0,-1790081214054.984,1802.00,,
2026-09-22T12:49:18.032Z,1790081358031.0,ping,0,0,-1790081214054.984,1553.00,,
2026-09-22T12:49:18.034Z,1790081358033.0,ping,0,0,-1790081214054.984,1303.00,,
2026-09-22T12:49:18.037Z,1790081358036.0,ping,0,0,-1790081214054.984,1054.00,,
2026-09-22T12:49:18.040Z,1790081358039.0,ping,0,0,-1790081214054.984,806.00,,
2026-09-22T12:49:18.042Z,1790081358041.0,ping,0,0,-1790081214054.984,555.00,,
2026-09-22T12:49:18.045Z,1790081358045.0,ping,0,0,-1790081214054.984,306.00,,
2026-09-22T12:49:18.253Z,1790081358252.0,ping,0,0,-1790081214054.984,262.00,,
2026-09-22T12:49:18.255Z,1790081358255.0,ping,0,0,-1790081214054.984,13.00,,
2026-09-22T12:49:18.511Z,1790081358510.0,ping,0,0,-1790081214054.984,17.00,,
2026-09-22T12:49:18.755Z,1790081358755.0,ping,0,0,-1790081214054.496,9.00,,
2026-09-22T12:49:19.025Z,1790081359025.0,ping,0,0,-1790081214054.496,27.00,,
