# AccelStream v4 capture
# written_utc: 2026-09-09T10:57:09.588712+00:00
# t_us is the board's raw micros() reading for that sample.
# t_s is relative to the first row of this file.
# on/set/go are the firmware's own beep timestamps, on the same
# micros() clock as every sample - no host or keypress latency.
# on_t_us: 2239567301
# on_t_s: -11.175457
# set_t_us: 2253632343
# set_t_s: 2.889585
# go_t_us: 2255909486
# go_t_s: 5.166728
# preroll_samples: 2499
# truncated: 0
# dropped: 0
# clockstep_us: 8
t_s,t_us,x_g,y_g,z_g
0.000000,2250742758,-0.1118,-0.0063,1.0043
0.001182,2250743940,-0.1108,-0.0068,1.0043
0.002323,2250745081,-0.1113,-0.0068,1.0058
0.003491,2250746249,-0.1108,-0.0068,1.0067
0.004631,2250747389,-0.1108,-0.0083,1.0043
0.005781,2250748539,-0.1103,-0.0073,1.0043
0.006940,2250749698,-0.1088,-0.0054,1.0082
0.008122,2250750880,-0.1098,-0.0078,1.0053
0.009240,2250751998,-0.1127,-0.0063,1.0014
0.010406,2250753164,-0.1122,-0.0073,1.0004
0.011589,2250754347,-0.1113,-0.0098,1.0019
0.012733,2250755491,-0.1118,-0.0098,1.0038
0.013903,2250756661,-0.1118,-0.0098,1.0067
0.015044,2250757802,-0.1132,-0.0093,1.0077
0.016211,2250758969,-0.1127,-0.0083,1.0028
0.017379,2250760137,-0.1108,-0.0073,1.0004
0.018519,2250761277,-0.1108,-0.0073,1.0033
0.019676,2250762434,-0.1108,-0.0059,1.0063
0.020834,2250763592,-0.1098,-0.0073,1.0087
0.021986,2250764744,-0.1083,-0.0078,1.0067
0.023153,2250765911,-0.1078,-0.0063,1.0024
0.024294,2250767052,-0.1074,-0.0063,1.0024
0.025444,2250768202,-0.1083,-0.0059,1.0009
0.026626,2250769384,-0.1098,-0.0059,1.0014
0.027767,2250770525,-0.1108,-0.0078,1.0067
0.028918,2250771676,-0.1098,-0.0093,1.0058
0.030058,2250772816,-0.1088,-0.0073,1.0024
