# AccelStream v4 capture
# written_utc: 2026-09-09T16:57:06.429876+00:00
# t_us is the board's raw micros() reading for that sample.
# t_s is relative to the first row of this file.
# on/set/go are the firmware's own beep timestamps, on the same
# micros() clock as every sample - no host or keypress latency.
# on_t_us: 95225411
# on_t_s: -9.208914
# set_t_us: 107317568
# set_t_s: 2.883243
# go_t_us: 109529583
# go_t_s: 5.095258
# preroll_samples: 2499
# truncated: 0
# dropped: 0
# clockstep_us: 8
t_s,t_us,x_g,y_g,z_g
0.000000,104434325,-0.0278,-0.0386,1.0072
0.001141,104435466,-0.0298,-0.0425,1.0063
0.002275,104436600,-0.0288,-0.0425,1.0087
0.003457,104437782,-0.0293,-0.0400,1.0077
0.004598,104438923,-0.0293,-0.0429,1.0077
0.005772,104440097,-0.0283,-0.0415,1.0087
0.006912,104441237,-0.0307,-0.0371,1.0082
0.008073,104442398,-0.0293,-0.0381,1.0077
0.009239,104443564,-0.0307,-0.0410,1.0067
0.010380,104444705,-0.0322,-0.0415,1.0043
0.011528,104445853,-0.0293,-0.0425,1.0019
0.012687,104447012,-0.0278,-0.0425,1.0048
0.013826,104448151,-0.0259,-0.0400,1.0072
0.015008,104449333,-0.0249,-0.0415,1.0072
0.016176,104450501,-0.0268,-0.0434,1.0072
0.017318,104451643,-0.0298,-0.0434,1.0092
0.018468,104452793,-0.0283,-0.0410,1.0087
0.019628,104453953,-0.0259,-0.0400,1.0077
0.020777,104455102,-0.0278,-0.0420,1.0087
0.021918,104456243,-0.0288,-0.0410,1.0092
0.023059,104457384,-0.0283,-0.0405,1.0087
0.024225,104458550,-0.0283,-0.0420,1.0106
0.025365,104459690,-0.0293,-0.0400,1.0102
0.026565,104460890,-0.0273,-0.0390,1.0067
0.027663,104461988,-0.0249,-0.0410,1.0072
0.028847,104463172,-0.0249,-0.0395,1.0063
0.029988,104464313,-0.0244,-0.0381,1.0038
0.031154,104465479,-0.0273,-0.0390,1.0048
0.032296,104466621,-0.0327,-0.0400,1.0048
0.033441,104467766,-0.0327,-0.0415,1.0043
0.034599,104468924,-0.0303,-0.0434,1.0063
0.035781,104470106,-0.0283,-0.0429,1.0072
0.036906,104471231,-0.0298,-0.0425,1.0092
0.038115,104472440,-0.0303,-0.0410,1.0072
0.039214,104473539,-0.0268,-0.0429,1.0063
0.040364,104474689,-0.0264,-0.0425,1.0097
0.041521,104475846,-0.0283,-0.0376,1.0102
0.042704,104477029,-0.0288,-0.0376,1.0102
0.043843,104478168,-0.0293,-0.0405,1.0106
0.044984,104479309,-0.0288,-0.0415,1.0087
0.046150,104480475,-0.0283,-0.0410,1.0072
0.047332,104481657,-0.0283,-0.0420,1.0087
0.048490,104482815,-0.0268,-0.0420,1.0102
0.049631,104483956,-0.0273,-0.0420,1.0102
0.050771,104485096,-0.0268,-0.0405,1.0072
0.051921,104486246,-0.0273,-0.0386,1.0087
0.053087,104487412,-0.0288,-0.0381,1.0097
0.054227,104488552,-0.0268,-0.0390,1.0063
0.055416,104489741,-0.0273,-0.0425,1.0033
0.056548,104490873,-0.0288,-0.0429,1.0014
0.057730,104492055,-0.0298,-0.0434,1.0043
0.058852,104493177,-0.0278,-0.0420,1.0082
0.060017,104494342,-0.0229,-0.0386,1.0106
0.061165,104495490,-0.0234,-0.0381,1.0111
0.062315,104496640,-0.0254,-0.0395,1.0077
0.063472,104497797,-0.0273,-0.0405,1.0087
0.064629,104498954,-0.0293,-0.0410,1.0082
0.065814,104500139,-0.0307,-0.0410,1.0058
0.066982,104501307,-0.0293,-0.0390,1.0063
0.068092,104502417,-0.0268,-0.0386,1.0058
0.069249,104503574,-0.0273,-0.0429,1.0053
0.070448,104504773,-0.0268,-0.0439,1.0072
0.071588,104505913,-0.0268,-0.0410,1.0058
0.072728,104507053,-0.0293,-0.0405,1.0028
0.073869,104508194,-0.0288,-0.0420,1.0009
0.075035,104509360,-0.0293,-0.0405,1.0038
0.076175,104510500,-0.0327,-0.0395,1.0106
0.077357,104511682,-0.0303,-0.0395,1.0087
0.078489,104512814,-0.0264,-0.0386,1.0082
0.079671,104513996,-0.0249,-0.0400,1.0111
0.080822,104515147,-0.0244,-0.0420,1.0106
0.081990,104516315,-0.0259,-0.0410,1.0126
0.083130,104517455,-0.0273,-0.0405,1.0111
0.084274,104518599,-0.0259,-0.0415,1.0043
0.085432,104519757,-0.0268,-0.0405,1.0019
0.086572,104520897,-0.0288,-0.0386,1.0053
0.087754,104522079,-0.0278,-0.0381,1.0082
0.088921,104523246,-0.0268,-0.0386,1.0063
0.090068,104524393,-0.0288,-0.0400,1.0058
0.091208,104525533,-0.0312,-0.0400,1.0063
0.092367,104526692,-0.0298,-0.0381,1.0077
0.093530,104527855,-0.0273,-0.0395,1.0106
0.094670,104528995,-0.0268,-0.0376,1.0082
0.095811,104530136,-0.0278,-0.0390,1.0077
0.096987,104531312,-0.0317,-0.0420,1.0106
0.098127,104532452,-0.0322,-0.0390,1.0106
0.099327,104533652,-0.0288,-0.0410,1.0106
0.100467,104534792,-0.0273,-0.0429,1.0063
0.101608,104535933,-0.0259,-0.0434,1.0033
0.102759,104537084,-0.0254,-0.0429,1.0067
0.103927,104538252,-0.0268,-0.0415,1.0067
0.105067,104539392,-0.0259,-0.0415,1.0063
0.106207,104540532,-0.0244,-0.0420,1.0077
0.107365,104541690,-0.0268,-0.0410,1.0082
0.108547,104542872,-0.0264,-0.0386,1.0077
0.109672,104543997,-0.0249,-0.0400,1.0102
0.110880,104545205,-0.0259,-0.0405,1.0106
0.111980,104546305,-0.0273,-0.0395,1.0092
0.113131,104547456,-0.0283,-0.0390,1.0063
0.114289,104548614,-0.0293,-0.0386,1.0043
0.115471,104549796,-0.0273,-0.0405,1.0072
0.116611,104550936,-0.0254,-0.0410,1.0097
0.117750,104552075,-0.0254,-0.0395,1.0092
0.118916,104553241,-0.0268,-0.0405,1.0111
0.120077,104554402,-0.0273,-0.0410,1.0126
0.121235,104555560,-0.0259,-0.0395,1.0087
0.122386,104556711,-0.0278,-0.0386,1.0058
0.123526,104557851,-0.0298,-0.0405,1.0067
0.124685,104559010,-0.0303,-0.0420,1.0072
0.125852,104560177,-0.0288,-0.0386,1.0072
0.126991,104561316,-0.0268,-0.0395,1.0097
0.128179,104562504,-0.0264,-0.0434,1.0102
0.129311,104563636,-0.0268,-0.0439,1.0092
0.130493,104564818,-0.0268,-0.0439,1.0063
0.131614,104565939,-0.0239,-0.0400,1.0053
0.132780,104567105,-0.0239,-0.0405,1.0063
0.133928,104568253,-0.0273,-0.0415,1.0063
0.135077,104569402,-0.0298,-0.0381,1.0058
0.136235,104570560,-0.0312,-0.0390,1.0048
0.137391,104571716,-0.0317,-0.0395,1.0058
0.138577,104572902,-0.0283,-0.0405,1.0048
0.139718,104574043,-0.0268,-0.0415,1.0063
0.140851,104575176,-0.0273,-0.0400,1.0067
0.142009,104576334,-0.0273,-0.0390,1.0048
0.143208,104577533,-0.0273,-0.0410,1.0063
0.144350,104578675,-0.0293,-0.0415,1.0053
0.145490,104579815,-0.0303,-0.0405,1.0067
0.146631,104580956,-0.0288,-0.0425,1.0087
0.147813,104582138,-0.0298,-0.0425,1.0092
0.148953,104583278,-0.0312,-0.0395,1.0077
0.150093,104584418,-0.0293,-0.0425,1.0058
0.151270,104585595,-0.0273,-0.0439,1.0063
0.152409,104586734,-0.0268,-0.0434,1.0087
0.153557,104587882,-0.0268,-0.0434,1.0087
0.154723,104589048,-0.0293,-0.0405,1.0067
0.155906,104590231,-0.0298,-0.0420,1.0063
0.157047,104591372,-0.0278,-0.0434,1.0082
0.158205,104592530,-0.0278,-0.0425,1.0082
0.159345,104593670,-0.0298,-0.0395,1.0082
0.160527,104594852,-0.0303,-0.0381,1.0072
0.161694,104596019,-0.0278,-0.0405,1.0072
0.162835,104597160,-0.0288,-0.0420,1.0087
0.163986,104598311,-0.0307,-0.0429,1.0077
0.165144,104599469,-0.0293,-0.0415,1.0067
0.166291,104600616,-0.0244,-0.0381,1.0087
0.167431,104601756,-0.0244,-0.0390,1.0092
0.168612,104602937,-0.0283,-0.0410,1.0077
0.169764,104604089,-0.0293,-0.0405,1.0077
0.170922,104605247,-0.0293,-0.0415,1.0072
0.172081,104606406,-0.0293,-0.0400,1.0067
0.173221,104607546,-0.0273,-0.0400,1.0077
0.174361,104608686,-0.0249,-0.0395,1.0092
0.175512,104609837,-0.0259,-0.0400,1.0087
0.176678,104611003,-0.0249,-0.0405,1.0072
0.177817,104612142,-0.0249,-0.0386,1.0072
0.179006,104613331,-0.0283,-0.0390,1.0063
0.180138,104614463,-0.0273,-0.0395,1.0038
0.181278,104615603,-0.0273,-0.0400,1.0053
0.182460,104616785,-0.0273,-0.0425,1.0063
0.183626,104617951,-0.0264,-0.0444,1.0072
0.184766,104619091,-0.0264,-0.0429,1.0097
0.185906,104620231,-0.0298,-0.0405,1.0097
0.187068,104621393,-0.0307,-0.0390,1.0077
0.188216,104622541,-0.0264,-0.0390,1.0092
0.189398,104623723,-0.0259,-0.0400,1.0126
0.190540,104624865,-0.0268,-0.0420,1.0106
0.191673,104625998,-0.0298,-0.0425,1.0072
0.192831,104627156,-0.0322,-0.0410,1.0072
0.194030,104628355,-0.0312,-0.0410,1.0072
0.195172,104629497,-0.0298,-0.0425,1.0082
0.196312,104630637,-0.0288,-0.0434,1.0102
0.197451,104631776,-0.0317,-0.0420,1.0097
0.198617,104632942,-0.0298,-0.0410,1.0102
0.199757,104634082,-0.0254,-0.0395,1.0102
0.200939,104635264,-0.0283,-0.0371,1.0077
0.202071,104636396,-0.0298,-0.0376,1.0072
0.203253,104637578,-0.0278,-0.0415,1.0067
0.204406,104638731,-0.0273,-0.0420,1.0043
0.205531,104639856,-0.0288,-0.0410,1.0048
0.206716,104641041,-0.0264,-0.0420,1.0082
0.207857,104642182,-0.0229,-0.0425,1.0072
0.209015,104643340,-0.0264,-0.0410,1.0058
0.210155,104644480,-0.0278,-0.0400,1.0063
0.211337,104645662,-0.0273,-0.0425,1.0067
0.212478,104646803,-0.0288,-0.0420,1.0063
0.213646,104647971,-0.0254,-0.0420,1.0058
0.214787,104649112,-0.0259,-0.0429,1.0058
0.215955,104650280,-0.0268,-0.0405,1.0063
0.217095,104651420,-0.0254,-0.0381,1.0063
0.218234,104652559,-0.0259,-0.0395,1.0053
0.219416,104653741,-0.0268,-0.0395,1.0043
0.220568,104654893,-0.0298,-0.0400,1.0048
0.221726,104656051,-0.0293,-0.0410,1.0058
