timestamp_iso,elapsed_s,x_g,y_g,z_g
2026-08-29T21:30:17.754527,0.000000,0.007198,-0.007198,0.991372
2026-08-29T21:30:17.754637,0.000110,0.005124,-0.007686,0.990396
2026-08-29T21:30:18.048163,0.293636,0.004880,-0.007808,0.990762
2026-08-29T21:30:18.048397,0.293870,0.006100,-0.007442,0.990884
2026-08-29T21:30:18.048509,0.293982,0.007320,-0.006954,0.990884
2026-08-29T21:30:18.048616,0.294089,0.008174,-0.007442,0.991128
2026-08-29T21:30:18.048721,0.294194,0.008540,-0.006954,0.990274
2026-08-29T21:30:18.048822,0.294295,0.006344,-0.007930,0.990762
2026-08-29T21:30:18.048928,0.294401,0.005246,-0.008540,0.990762
2026-08-29T21:30:18.049025,0.294498,0.005124,-0.007930,0.990396
2026-08-29T21:30:18.049127,0.294600,0.005978,-0.006954,0.990274
2026-08-29T21:30:18.049226,0.294699,0.007808,-0.005856,0.990396
2026-08-29T21:30:18.049328,0.294801,0.008052,-0.005856,0.990518
2026-08-29T21:30:18.049425,0.294898,0.008052,-0.006832,0.990884
2026-08-29T21:30:18.049458,0.294931,0.005978,-0.007686,0.990762
2026-08-29T21:30:18.052588,0.298061,0.005490,-0.008784,0.990884
2026-08-29T21:30:18.084388,0.329861,0.004880,-0.008296,0.991372
2026-08-29T21:30:18.084488,0.329961,0.005856,-0.008174,0.991128
2026-08-29T21:30:18.114387,0.359860,0.006954,-0.006466,0.990884
2026-08-29T21:30:18.143146,0.388619,0.007442,-0.005368,0.990762
2026-08-29T21:30:18.144345,0.389818,0.007442,-0.006344,0.990396
2026-08-29T21:30:18.172320,0.417793,0.006466,-0.007320,0.991372
2026-08-29T21:30:18.204591,0.450064,0.005490,-0.007808,0.991128
2026-08-29T21:30:18.205226,0.450699,0.005246,-0.008296,0.990518
2026-08-29T21:30:18.233275,0.478748,0.006100,-0.008052,0.990396
2026-08-29T21:30:18.264870,0.510343,0.007320,-0.006832,0.990518
2026-08-29T21:30:18.294563,0.540036,0.008052,-0.006588,0.990518
2026-08-29T21:30:18.296511,0.541984,0.007320,-0.006222,0.990640
2026-08-29T21:30:18.324573,0.570046,0.005978,-0.007564,0.990884
2026-08-29T21:30:18.352919,0.598392,0.005124,-0.008296,0.990518
2026-08-29T21:30:18.384815,0.630288,0.005124,-0.007442,0.990884
2026-08-29T21:30:18.385114,0.630587,0.007442,-0.006710,0.990884
2026-08-29T21:30:18.415280,0.660753,0.008418,-0.006466,0.990030
2026-08-29T21:30:18.445091,0.690564,0.008174,-0.007198,0.990518
2026-08-29T21:30:18.445229,0.690702,0.007076,-0.007320,0.990640
2026-08-29T21:30:18.473335,0.718808,0.006100,-0.008296,0.990884
2026-08-29T21:30:18.504980,0.750453,0.004026,-0.008296,0.991006
2026-08-29T21:30:18.505160,0.750633,0.005368,-0.007564,0.990884
2026-08-29T21:30:18.534301,0.779774,0.006344,-0.006832,0.990396
2026-08-29T21:30:18.565988,0.811461,0.007076,-0.006222,0.990152
2026-08-29T21:30:18.566267,0.811740,0.007930,-0.006466,0.991128
2026-08-29T21:30:18.593370,0.838843,0.006954,-0.006832,0.991006
2026-08-29T21:30:18.624455,0.869928,0.005734,-0.008174,0.991372
2026-08-29T21:30:18.655075,0.900548,0.005734,-0.008662,0.990762
2026-08-29T21:30:18.655277,0.900750,0.005612,-0.008662,0.990518
2026-08-29T21:30:18.684482,0.929955,0.007198,-0.006954,0.990152
2026-08-29T21:30:18.684750,0.930223,0.006832,-0.006100,0.990274
2026-08-29T21:30:18.715393,0.960866,0.007808,-0.006100,0.990762
2026-08-29T21:30:18.744022,0.989495,0.007320,-0.006710,0.990396
2026-08-29T21:30:18.775299,1.020772,0.006222,-0.007076,0.990884
2026-08-29T21:30:18.775620,1.021093,0.006466,-0.007930,0.991250
2026-08-29T21:30:18.802920,1.048393,0.005612,-0.008052,0.990640
2026-08-29T21:30:18.834862,1.080335,0.006222,-0.007076,0.990396
2026-08-29T21:30:18.835168,1.080641,0.007076,-0.007564,0.990762
2026-08-29T21:30:18.865679,1.111152,0.007808,-0.006832,0.990640
2026-08-29T21:30:18.865885,1.111358,0.007564,-0.007564,0.990518
2026-08-29T21:30:18.893725,1.139198,0.006222,-0.007076,0.990762
2026-08-29T21:30:18.925031,1.170504,0.005612,-0.007442,0.990518
2026-08-29T21:30:18.925490,1.170963,0.005368,-0.007442,0.990274
2026-08-29T21:30:18.953080,1.198553,0.005734,-0.007198,0.990518
2026-08-29T21:30:18.984279,1.229752,0.006954,-0.006222,0.990152
2026-08-29T21:30:18.984487,1.229960,0.007442,-0.006466,0.990884
2026-08-29T21:30:19.015053,1.260526,0.007564,-0.006588,0.990762
2026-08-29T21:30:19.046339,1.291812,0.007198,-0.007320,0.991128
2026-08-29T21:30:19.046549,1.292022,0.005490,-0.007442,0.990518
2026-08-29T21:30:19.076033,1.321506,0.005124,-0.008296,0.991738
2026-08-29T21:30:19.106202,1.351675,0.005246,-0.007320,0.990274
2026-08-29T21:30:19.136732,1.382205,0.006222,-0.006344,0.990640
2026-08-29T21:30:19.136908,1.382381,0.007198,-0.005978,0.990762
2026-08-29T21:30:19.165802,1.411275,0.007686,-0.006344,0.990152
2026-08-29T21:30:19.196757,1.442230,0.006832,-0.006710,0.990396
2026-08-29T21:30:19.197152,1.442625,0.006344,-0.007808,0.990396
2026-08-29T21:30:19.227099,1.472572,0.006100,-0.008418,0.990762
2026-08-29T21:30:19.227354,1.472827,0.005368,-0.007808,0.991250
2026-08-29T21:30:19.256537,1.502010,0.006100,-0.006466,0.990152
2026-08-29T21:30:19.285395,1.530868,0.006954,-0.006710,0.990640
2026-08-29T21:30:19.285612,1.531085,0.007320,-0.005490,0.990762
2026-08-29T21:30:19.314899,1.560372,0.007320,-0.006832,0.990640
2026-08-29T21:30:19.346903,1.592376,0.006344,-0.007198,0.991128
2026-08-29T21:30:19.347318,1.592791,0.005978,-0.007808,0.990152
2026-08-29T21:30:19.376051,1.621524,0.006222,-0.008174,0.990762
2026-08-29T21:30:19.405586,1.651059,0.006344,-0.008052,0.990396
2026-08-29T21:30:19.405676,1.651149,0.007320,-0.006710,0.990152
2026-08-29T21:30:19.435224,1.680697,0.007930,-0.006222,0.990640
2026-08-29T21:30:19.465383,1.710856,0.006710,-0.006588,0.990640
2026-08-29T21:30:19.494452,1.739925,0.006466,-0.007198,0.991006
2026-08-29T21:30:19.494573,1.740046,0.005612,-0.007442,0.991128
2026-08-29T21:30:19.523505,1.768978,0.005612,-0.007198,0.990396
2026-08-29T21:30:19.554299,1.799772,0.005978,-0.007564,0.990030
2026-08-29T21:30:19.554475,1.799948,0.006954,-0.007320,0.990762
