# AccelStream v4 capture
# written_utc: 2026-09-15T15:45:59.006639+00:00
# t_us is the board's raw micros() reading for that sample.
# t_s is relative to the first row of this file.
# on/set/go are the firmware's own beep timestamps, on the same
# micros() clock as every sample - no host or keypress latency.
# on_t_us: 51932907
# on_t_s: -19.306257
# set_t_us: 74136469
# set_t_s: 2.897305
# go_t_us: 76304540
# go_t_s: 5.065376
# arm_t_us: 75138184
# arm_t_s: 3.899020
# arm_peak_mg: 10.72
# arm_capped: 0
# preroll_samples: 2499
# truncated: 0
# dropped: 0
# clockstep_us: 8
# board_verdict: valid start
# board_reaction_ms: 175.206
# board_onset_t_us: 76479746
t_s,t_us,x_g,y_g,z_g
0.000000,71239164,-0.0063,0.0083,1.0111
0.001179,71240343,-0.0059,0.0088,1.0111
0.002317,71241481,-0.0024,0.0078,1.0121
0.003485,71242649,-0.0029,0.0059,1.0131
0.004664,71243828,-0.0068,0.0078,1.0106
0.005802,71244966,-0.0063,0.0102,1.0082
0.006982,71246146,-0.0083,0.0063,1.0072
0.008121,71247285,-0.0088,0.0054,1.0102
0.009275,71248439,-0.0054,0.0063,1.0106
0.010443,71249607,-0.0044,0.0068,1.0121
0.011622,71250786,-0.0049,0.0068,1.0111
0.012762,71251926,-0.0029,0.0059,1.0092
0.013941,71253105,-0.0049,0.0059,1.0102
0.015081,71254245,-0.0073,0.0059,1.0087
0.016235,71255399,-0.0063,0.0039,1.0111
0.017417,71256581,-0.0073,0.0024,1.0136
0.018556,71257720,-0.0078,0.0034,1.0106
0.019736,71258900,-0.0088,0.0059,1.0111
0.020874,71260038,-0.0098,0.0073,1.0111
0.022025,71261189,-0.0107,0.0054,1.0131
0.023184,71262348,-0.0102,0.0059,1.0106
0.024349,71263513,-0.0098,0.0054,1.0092
0.025521,71264685,-0.0093,0.0049,1.0106
0.026700,71265864,-0.0068,0.0073,1.0097
0.027838,71267002,-0.0063,0.0073,1.0092
0.029017,71268181,-0.0098,0.0073,1.0072
0.030155,71269319,-0.0093,0.0083,1.0087
0.031320,71270484,-0.0088,0.0078,1.0126
0.032493,71271657,-0.0098,0.0073,1.0141
0.033647,71272811,-0.0093,0.0107,1.0121
0.034785,71273949,-0.0073,0.0107,1.0131
0.035964,71275128,-0.0063,0.0093,1.0141
0.037130,71276294,-0.0059,0.0078,1.0121
0.038296,71277460,-0.0044,0.0073,1.0111
0.039427,71278591,-0.0044,0.0083,1.0106
0.040606,71279770,-0.0044,0.0083,1.0116
0.041744,71280908,-0.0088,0.0088,1.0106
0.042924,71282088,-0.0093,0.0068,1.0087
0.044089,71283253,-0.0054,0.0059,1.0092
0.045227,71284391,-0.0049,0.0068,1.0092
0.046391,71285555,-0.0034,0.0039,1.0067
0.047570,71286734,-0.0049,0.0034,1.0077
0.048708,71287872,-0.0078,0.0063,1.0097
0.049887,71289051,-0.0063,0.0063,1.0102
0.051026,71290190,-0.0059,0.0063,1.0121
0.052178,71291342,-0.0049,0.0088,1.0116
0.053347,71292511,-0.0034,0.0078,1.0141
0.054527,71293691,-0.0039,0.0059,1.0116
0.055665,71294829,-0.0029,0.0049,1.0102
0.056845,71296009,-0.0039,0.0073,1.0126
0.057984,71297148,-0.0044,0.0102,1.0097
0.059138,71298302,-0.0034,0.0102,1.0121
0.060321,71299485,-0.0049,0.0088,1.0136
0.061474,71300638,-0.0059,0.0059,1.0106
0.062612,71301776,-0.0063,0.0068,1.0087
0.063795,71302959,-0.0073,0.0102,1.0097
0.064933,71304097,-0.0063,0.0102,1.0126
0.066124,71305288,-0.0078,0.0088,1.0111
0.067307,71306471,-0.0102,0.0088,1.0102
0.068449,71307613,-0.0063,0.0083,1.0106
0.069587,71308751,-0.0049,0.0078,1.0121
0.070768,71309932,-0.0054,0.0083,1.0121
0.071908,71311072,-0.0049,0.0044,1.0082
