# AccelStream v4 capture
# written_utc: 2026-09-15T15:48:28.464184+00:00
# t_us is the board's raw micros() reading for that sample.
# t_s is relative to the first row of this file.
# on/set/go are the firmware's own beep timestamps, on the same
# micros() clock as every sample - no host or keypress latency.
# on_t_us: 201827428
# on_t_s: -17.564655
# set_t_us: 222289444
# set_t_s: 2.897361
# go_t_us: 224697871
# go_t_s: 5.305788
# arm_t_us: 223290224
# arm_t_s: 3.898141
# arm_peak_mg: 7.88
# arm_capped: 0
# preroll_samples: 2499
# truncated: 0
# dropped: 0
# clockstep_us: 8
# board_verdict: valid start
# board_reaction_ms: 161.368
# board_onset_t_us: 224859239
t_s,t_us,x_g,y_g,z_g
0.000000,219392083,-0.0146,0.0044,1.0097
0.001149,219393232,-0.0151,0.0063,1.0111
0.002315,219394398,-0.0137,0.0063,1.0116
0.003454,219395537,-0.0127,0.0049,1.0121
0.004633,219396716,-0.0117,0.0054,1.0136
0.005771,219397854,-0.0098,0.0059,1.0150
0.006921,219399004,-0.0107,0.0073,1.0141
0.008103,219400186,-0.0142,0.0049,1.0121
0.009268,219401351,-0.0137,0.0034,1.0141
0.010422,219402505,-0.0117,0.0049,1.0131
0.011560,219403643,-0.0127,0.0044,1.0087
0.012739,219404822,-0.0142,0.0063,1.0058
0.013887,219405970,-0.0127,0.0039,1.0082
0.015043,219407126,-0.0117,0.0029,1.0092
0.016249,219408332,-0.0093,0.0024,1.0097
0.017346,219409429,-0.0107,0.0020,1.0121
0.018539,219410622,-0.0112,0.0034,1.0116
0.019684,219411767,-0.0102,0.0044,1.0131
0.020851,219412934,-0.0098,0.0059,1.0131
0.022008,219414091,-0.0102,0.0049,1.0131
0.023146,219415229,-0.0132,0.0059,1.0185
0.024310,219416393,-0.0137,0.0054,1.0165
0.025490,219417573,-0.0122,0.0054,1.0116
0.026628,219418711,-0.0107,0.0049,1.0106
0.027783,219419866,-0.0088,0.0049,1.0097
0.028979,219421062,-0.0088,0.0034,1.0097
0.030117,219422200,-0.0102,0.0020,1.0092
0.031283,219423366,-0.0102,0.0044,1.0102
0.032421,219424504,-0.0122,0.0044,1.0111
0.033612,219425695,-0.0142,0.0029,1.0116
0.034769,219426852,-0.0132,0.0029,1.0131
0.035925,219428008,-0.0117,0.0039,1.0136
0.037075,219429158,-0.0122,0.0063,1.0102
0.038243,219430326,-0.0127,0.0083,1.0116
0.039381,219431464,-0.0117,0.0068,1.0111
0.040565,219432648,-0.0102,0.0029,1.0072
0.041703,219433786,-0.0142,0.0024,1.0082
0.042899,219434982,-0.0156,0.0049,1.0087
0.044007,219436090,-0.0112,0.0054,1.0092
0.045171,219437254,-0.0127,0.0034,1.0102
0.046351,219438434,-0.0132,0.0029,1.0126
0.047490,219439573,-0.0122,0.0039,1.0146
0.048670,219440753,-0.0137,0.0039,1.0106
0.049809,219441892,-0.0112,0.0039,1.0106
0.050992,219443075,-0.0117,0.0034,1.0126
0.052156,219444239,-0.0137,0.0039,1.0102
0.053294,219445377,-0.0142,0.0015,1.0111
0.054475,219446558,-0.0122,0.0015,1.0126
0.055613,219447696,-0.0112,0.0054,1.0097
0.056793,219448876,-0.0112,0.0044,1.0102
0.057934,219450017,-0.0102,0.0020,1.0102
0.059140,219451223,-0.0098,0.0034,1.0082
0.060239,219452322,-0.0093,0.0059,1.0102
0.061419,219453502,-0.0117,0.0054,1.0126
0.062558,219454641,-0.0117,0.0034,1.0131
0.063716,219455799,-0.0088,0.0049,1.0111
0.064873,219456956,-0.0088,0.0044,1.0106
0.066052,219458135,-0.0117,0.0024,1.0126
0.067219,219459302,-0.0132,0.0024,1.0116
0.068359,219460442,-0.0122,0.0044,1.0067
0.069538,219461621,-0.0127,0.0063,1.0063
0.070681,219462764,-0.0142,0.0044,1.0121
0.071837,219463920,-0.0132,0.0034,1.0136
0.073017,219465100,-0.0137,0.0039,1.0131
0.074169,219466252,-0.0122,0.0024,1.0146
0.075307,219467390,-0.0088,0.0020,1.0136
0.076486,219468569,-0.0122,0.0024,1.0126
0.077642,219469725,-0.0161,0.0029,1.0116
