# AccelStream v4 capture
# written_utc: 2026-09-15T16:34:35.815700+00:00
# t_us is the board's raw micros() reading for that sample.
# t_s is relative to the first row of this file.
# on/set/go are the firmware's own beep timestamps, on the same
# micros() clock as every sample - no host or keypress latency.
# on_t_us: 7845698
# on_t_s: -20.838440
# set_t_us: 31579213
# set_t_s: 2.895075
# go_t_us: 33931535
# go_t_s: 5.247397
# arm_t_us: 32839406
# arm_t_s: 4.155268
# arm_peak_mg: 7.14
# arm_capped: 0
# preroll_samples: 2499
# truncated: 0
# dropped: 0
# clockstep_us: 8
# board_verdict: valid start
# board_reaction_ms: 137.986
# board_onset_t_us: 34069521
t_s,t_us,x_g,y_g,z_g
0.000000,28684138,-0.0059,-0.0137,1.0116
0.001179,28685317,-0.0068,-0.0137,1.0063
0.002341,28686479,-0.0088,-0.0112,1.0048
0.003505,28687643,-0.0098,-0.0112,1.0097
0.004661,28688799,-0.0034,-0.0146,1.0116
0.005827,28689965,-0.0020,-0.0132,1.0087
0.006965,28691103,-0.0059,-0.0151,1.0097
0.008105,28692243,-0.0063,-0.0171,1.0136
0.009269,28693407,-0.0059,-0.0132,1.0126
0.010445,28694583,-0.0044,-0.0142,1.0102
0.011598,28695736,-0.0044,-0.0166,1.0106
0.012736,28696874,-0.0054,-0.0151,1.0102
0.013907,28698045,-0.0049,-0.0137,1.0087
0.015063,28699201,-0.0049,-0.0151,1.0072
0.016245,28700383,-0.0068,-0.0166,1.0082
0.017422,28701560,-0.0098,-0.0151,1.0092
0.018565,28702703,-0.0107,-0.0137,1.0111
0.019704,28703842,-0.0088,-0.0132,1.0150
0.020882,28705020,-0.0083,-0.0127,1.0136
0.022031,28706169,-0.0059,-0.0142,1.0121
0.023169,28707307,-0.0034,-0.0146,1.0111
0.024347,28708485,-0.0059,-0.0161,1.0111
0.025491,28709629,-0.0063,-0.0166,1.0126
0.026671,28710809,-0.0054,-0.0142,1.0116
0.027826,28711964,-0.0068,-0.0142,1.0092
0.028964,28713102,-0.0098,-0.0127,1.0092
0.030144,28714282,-0.0102,-0.0102,1.0111
0.031281,28715419,-0.0083,-0.0117,1.0116
0.032447,28716585,-0.0083,-0.0146,1.0121
0.033594,28717732,-0.0088,-0.0166,1.0121
0.034750,28718888,-0.0073,-0.0156,1.0121
0.035937,28720075,-0.0044,-0.0142,1.0106
0.037076,28721214,-0.0024,-0.0122,1.0097
0.038232,28722370,-0.0059,-0.0122,1.0102
0.039398,28723536,-0.0078,-0.0142,1.0106
0.040553,28724691,-0.0059,-0.0132,1.0102
0.041708,28725846,-0.0049,-0.0137,1.0111
0.042889,28727027,-0.0063,-0.0132,1.0106
0.044033,28728171,-0.0093,-0.0107,1.0087
0.045199,28729337,-0.0078,-0.0117,1.0097
0.046364,28730502,-0.0039,-0.0156,1.0097
0.047520,28731658,-0.0054,-0.0142,1.0077
0.048675,28732813,-0.0063,-0.0156,1.0087
0.049814,28733952,-0.0083,-0.0166,1.0121
0.050965,28735103,-0.0093,-0.0142,1.0111
0.052131,28736269,-0.0063,-0.0156,1.0106
0.053311,28737449,-0.0054,-0.0156,1.0126
0.054466,28738604,-0.0044,-0.0146,1.0116
0.055604,28739742,-0.0059,-0.0151,1.0087
0.056776,28740914,-0.0068,-0.0161,1.0111
0.057928,28742066,-0.0068,-0.0161,1.0146
0.059069,28743207,-0.0059,-0.0166,1.0116
0.060274,28744412,-0.0049,-0.0156,1.0092
0.061388,28745526,-0.0054,-0.0142,1.0092
0.062568,28746706,-0.0059,-0.0142,1.0097
0.063705,28747843,-0.0059,-0.0151,1.0097
0.064884,28749022,-0.0049,-0.0142,1.0097
0.066022,28750160,-0.0063,-0.0137,1.0102
0.067201,28751339,-0.0039,-0.0151,1.0072
0.068368,28752506,-0.0024,-0.0161,1.0077
0.069510,28753648,-0.0063,-0.0166,1.0087
0.070665,28754803,-0.0078,-0.0161,1.0092
0.071845,28755983,-0.0078,-0.0166,1.0092
0.072982,28757120,-0.0078,-0.0166,1.0067
0.074161,28758299,-0.0098,-0.0161,1.0092
0.075286,28759424,-0.0112,-0.0151,1.0111
0.076470,28760608,-0.0088,-0.0171,1.0097
0.077625,28761763,-0.0078,-0.0161,1.0087
0.078763,28762901,-0.0063,-0.0146,1.0102
0.079946,28764084,-0.0063,-0.0142,1.0126
0.081104,28765242,-0.0054,-0.0112,1.0102
0.082270,28766408,-0.0044,-0.0102,1.0077
0.083419,28767557,-0.0063,-0.0142,1.0087
0.084575,28768713,-0.0073,-0.0137,1.0102
0.085713,28769851,-0.0059,-0.0132,1.0092
0.086892,28771030,-0.0044,-0.0185,1.0087
0.088047,28772185,-0.0063,-0.0166,1.0082
0.089212,28773350,-0.0059,-0.0112,1.0082
0.090368,28774506,-0.0049,-0.0117,1.0072
0.091523,28775661,-0.0054,-0.0107,1.0067
0.092662,28776800,-0.0049,-0.0127,1.0092
0.093814,28777952,-0.0073,-0.0146,1.0116
0.094994,28779132,-0.0088,-0.0132,1.0121
0.096162,28780300,-0.0073,-0.0181,1.0106
0.097318,28781456,-0.0039,-0.0185,1.0097
0.098456,28782594,-0.0034,-0.0146,1.0111
0.099627,28783765,-0.0063,-0.0132,1.0111
0.100784,28784922,-0.0068,-0.0132,1.0097
0.101967,28786105,-0.0039,-0.0142,1.0116
0.103143,28787281,-0.0029,-0.0151,1.0121
0.104245,28788383,-0.0083,-0.0132,1.0087
0.105424,28789562,-0.0117,-0.0107,1.0067
0.106563,28790701,-0.0073,-0.0127,1.0063
0.107742,28791880,-0.0044,-0.0132,1.0072
0.108880,28793018,-0.0039,-0.0151,1.0087
0.110058,28794196,-0.0068,-0.0146,1.0106
0.111225,28795363,-0.0107,-0.0122,1.0136
0.112372,28796510,-0.0093,-0.0132,1.0126
0.113528,28797666,-0.0068,-0.0151,1.0077
0.114707,28798845,-0.0073,-0.0161,1.0048
0.115845,28799983,-0.0078,-0.0132,1.0077
0.117023,28801161,-0.0068,-0.0142,1.0092
0.118148,28802286,-0.0044,-0.0176,1.0087
0.119336,28803474,-0.0039,-0.0195,1.0106
0.120491,28804629,-0.0068,-0.0166,1.0097
0.121629,28805767,-0.0063,-0.0132,1.0077
0.122814,28806952,-0.0093,-0.0151,1.0102
0.123972,28808110,-0.0083,-0.0166,1.0082
0.125139,28809277,-0.0054,-0.0161,1.0077
0.126277,28810415,-0.0073,-0.0151,1.0102
0.127447,28811585,-0.0078,-0.0166,1.0111
