# accel_live capture
# started_utc: 2026-09-07T14:03:54.026026+00:00
# source: /dev/cu.usbmodem101
# odr_hz_nominal: 1660
# accel_range_g: 16
# full ODR, undecimated - captured via the board's on-device
# RAM buffer and dumped after stop, not streamed live.
# t_s is relative to the first sample of this recording;
# t_us is the board's raw micros() reading for that sample.
# host_iso is host arrival time, for cross-reference only.
t_s,t_us,x_g,y_g,z_g,host_iso
0.064757,2661737779,-0.0317,-0.0307,1.0111,2026-09-07T14:03:59.102698+00:00
0.065779,2661738801,-0.0361,-0.0303,1.0033,2026-09-07T14:03:59.105028+00:00
0.066802,2661739824,-0.0327,-0.0298,0.8769,2026-09-07T14:03:59.107377+00:00
0.067825,2661740847,-0.0312,-0.0278,1.0043,2026-09-07T14:03:59.109852+00:00
0.068852,2661741874,-0.0283,-0.0244,1.0048,2026-09-07T14:03:59.112334+00:00
0.069875,2661742897,-0.0307,-0.0264,1.0053,2026-09-07T14:03:59.114842+00:00
0.070897,2661743919,-0.0346,-0.0307,1.0004,2026-09-07T14:03:59.117246+00:00
0.071922,2661744944,-0.0244,-0.0317,1.0102,2026-09-07T14:03:59.119711+00:00
0.072944,2661745966,-0.0288,-0.0332,1.0087,2026-09-07T14:03:59.122198+00:00
0.073966,2661746988,-0.0303,-0.0395,1.0150,2026-09-07T14:03:59.124567+00:00
0.075007,2661748029,-0.0244,-0.0468,1.0194,2026-09-07T14:03:59.126952+00:00
0.076037,2661749059,-0.0273,-0.0405,1.0150,2026-09-07T14:03:59.134224+00:00
0.077059,2661750081,-0.0293,-0.0410,1.0097,2026-09-07T14:03:59.134239+00:00
0.078082,2661751104,-0.0264,-0.0351,1.0063,2026-09-07T14:03:59.134397+00:00
0.079104,2661752126,-0.0239,-0.0312,1.0126,2026-09-07T14:03:59.136808+00:00
0.080126,2661753148,-0.0229,-0.0278,1.0072,2026-09-07T14:03:59.140419+00:00
0.081149,2661754171,-0.0239,-0.0361,1.0189,2026-09-07T14:03:59.142935+00:00
0.082172,2661755194,-0.0205,-0.0381,1.0194,2026-09-07T14:03:59.144095+00:00
0.083194,2661756216,-0.0185,-0.0405,1.0121,2026-09-07T14:03:59.146750+00:00
0.084215,2661757237,-0.0195,-0.0405,1.0072,2026-09-07T14:03:59.148888+00:00
0.085255,2661758277,-0.0200,-0.0405,1.0160,2026-09-07T14:03:59.151426+00:00
0.086296,2661759318,-0.0254,-0.0429,1.0160,2026-09-07T14:03:59.154088+00:00
0.087345,2661760367,-0.0288,-0.0415,1.0224,2026-09-07T14:03:59.156306+00:00
0.088372,2661761394,-0.0273,-0.0386,1.0214,2026-09-07T14:03:59.158664+00:00
