# accel_live capture
# started_utc: 2026-09-08T14:42:31.178992+00:00
# source: /dev/cu.usbmodem21101
# odr_hz_nominal: 1660
# accel_range_g: 16
# full ODR, undecimated - captured via the board's on-device
# RAM buffer and dumped after stop, not streamed live.
# t_s is relative to the first sample of this recording;
# t_us is the board's raw micros() reading for that sample.
# host_iso is host arrival time, for cross-reference only.
t_s,t_us,x_g,y_g,z_g,host_iso
0.000000,22563803,-0.1010,0.1132,-0.9716,2026-09-08T14:42:36.905886+00:00
0.001152,22564955,-0.1015,0.1088,-0.9711,2026-09-08T14:42:36.905954+00:00
0.002324,22566127,-0.1064,0.1083,-0.9716,2026-09-08T14:42:36.905969+00:00
0.003472,22567275,-0.1122,0.1127,-0.9775,2026-09-08T14:42:36.905978+00:00
0.004619,22568422,-0.1137,0.1176,-0.9794,2026-09-08T14:42:36.905985+00:00
0.005786,22569589,-0.1113,0.1181,-0.9823,2026-09-08T14:42:36.907475+00:00
0.006924,22570727,-0.1059,0.1127,-0.9814,2026-09-08T14:42:36.911498+00:00
0.008089,22571892,-0.1015,0.1064,-0.9775,2026-09-08T14:42:36.912413+00:00
0.009280,22573083,-0.1049,0.1039,-0.9780,2026-09-08T14:42:36.914755+00:00
0.010406,22574209,-0.1083,0.1044,-0.9745,2026-09-08T14:42:36.917151+00:00
0.011552,22575355,-0.1118,0.1098,-0.9740,2026-09-08T14:42:36.920434+00:00
0.012706,22576509,-0.1137,0.1157,-0.9794,2026-09-08T14:42:36.922118+00:00
0.013871,22577674,-0.1098,0.1176,-0.9789,2026-09-08T14:42:36.924552+00:00
0.015018,22578821,-0.1044,0.1132,-0.9721,2026-09-08T14:42:36.926984+00:00
0.016184,22579987,-0.1005,0.1083,-0.9648,2026-09-08T14:42:36.929137+00:00
0.017337,22581140,-0.1010,0.1078,-0.9618,2026-09-08T14:42:36.931493+00:00
0.018484,22582287,-0.1059,0.1108,-0.9643,2026-09-08T14:42:36.933911+00:00
0.019650,22583453,-0.1083,0.1161,-0.9711,2026-09-08T14:42:36.936248+00:00
0.020796,22584599,-0.1083,0.1181,-0.9770,2026-09-08T14:42:36.938634+00:00
0.021962,22585765,-0.1083,0.1157,-0.9809,2026-09-08T14:42:36.941030+00:00
0.023111,22586914,-0.1054,0.1132,-0.9804,2026-09-08T14:42:36.943471+00:00
0.024264,22588067,-0.1044,0.1074,-0.9731,2026-09-08T14:42:36.945919+00:00
0.025430,22589233,-0.1059,0.1025,-0.9687,2026-09-08T14:42:36.948240+00:00
0.026585,22590388,-0.1093,0.1035,-0.9692,2026-09-08T14:42:36.950633+00:00
0.027742,22591545,-0.1098,0.1035,-0.9736,2026-09-08T14:42:36.957534+00:00
0.028888,22592691,-0.1035,0.1074,-0.9765,2026-09-08T14:42:36.957544+00:00
0.030061,22593864,-0.1000,0.1152,-0.9765,2026-09-08T14:42:36.957967+00:00
0.031215,22595018,-0.1005,0.1171,-0.9755,2026-09-08T14:42:36.961213+00:00
0.032368,22596171,-0.0996,0.1122,-0.9692,2026-09-08T14:42:36.962759+00:00
0.033514,22597317,-0.1020,0.1103,-0.9628,2026-09-08T14:42:36.965125+00:00
0.034680,22598483,-0.1049,0.1108,-0.9604,2026-09-08T14:42:36.967488+00:00
0.035837,22599640,-0.1064,0.1078,-0.9594,2026-09-08T14:42:36.969933+00:00
0.036990,22600793,-0.1049,0.1088,-0.9623,2026-09-08T14:42:36.972315+00:00
0.038199,22602002,-0.1020,0.1132,-0.9697,2026-09-08T14:42:36.975220+00:00
0.039308,22603111,-0.0996,0.1161,-0.9721,2026-09-08T14:42:36.977911+00:00
0.040455,22604258,-0.1005,0.1152,-0.9726,2026-09-08T14:42:36.979630+00:00
0.041617,22605420,-0.1044,0.1118,-0.9760,2026-09-08T14:42:36.981993+00:00
0.042770,22606573,-0.1059,0.1069,-0.9765,2026-09-08T14:42:36.984355+00:00
0.043936,22607739,-0.1059,0.1039,-0.9780,2026-09-08T14:42:36.986734+00:00
0.045082,22608885,-0.1049,0.1049,-0.9775,2026-09-08T14:42:36.989067+00:00
0.046239,22610042,-0.1030,0.1059,-0.9755,2026-09-08T14:42:36.991460+00:00
0.047405,22611208,-0.1010,0.1083,-0.9775,2026-09-08T14:42:36.993827+00:00
0.048552,22612355,-0.1000,0.1093,-0.9765,2026-09-08T14:42:36.996147+00:00
0.049718,22613521,-0.1020,0.1098,-0.9731,2026-09-08T14:42:36.998493+00:00
0.050864,22614667,-0.1049,0.1132,-0.9701,2026-09-08T14:42:37.000930+00:00
0.052032,22615835,-0.1064,0.1122,-0.9697,2026-09-08T14:42:37.003401+00:00
0.053186,22616989,-0.1059,0.1098,-0.9687,2026-09-08T14:42:37.005838+00:00
0.054333,22618136,-0.1069,0.1098,-0.9667,2026-09-08T14:42:37.008242+00:00
0.055508,22619311,-0.1049,0.1122,-0.9692,2026-09-08T14:42:37.010629+00:00
0.056648,22620451,-0.1005,0.1152,-0.9721,2026-09-08T14:42:37.013013+00:00
0.057813,22621616,-0.1020,0.1127,-0.9736,2026-09-08T14:42:37.015488+00:00
0.058963,22622766,-0.1078,0.1098,-0.9765,2026-09-08T14:42:37.017916+00:00
0.060136,22623939,-0.1103,0.1088,-0.9799,2026-09-08T14:42:37.020248+00:00
0.061283,22625086,-0.1088,0.1059,-0.9823,2026-09-08T14:42:37.022713+00:00
0.062449,22626252,-0.1054,0.1054,-0.9828,2026-09-08T14:42:37.025090+00:00
0.063596,22627399,-0.1039,0.1064,-0.9823,2026-09-08T14:42:37.027448+00:00
0.064762,22628565,-0.1039,0.1069,-0.9814,2026-09-08T14:42:37.029837+00:00
0.065916,22629719,-0.1059,0.1064,-0.9794,2026-09-08T14:42:37.032176+00:00
0.067107,22630910,-0.1093,0.1069,-0.9736,2026-09-08T14:42:37.034543+00:00
0.068218,22632021,-0.1074,0.1108,-0.9701,2026-09-08T14:42:37.036917+00:00
0.069384,22633187,-0.1049,0.1103,-0.9687,2026-09-08T14:42:37.039273+00:00
0.070533,22634336,-0.1035,0.1093,-0.9662,2026-09-08T14:42:37.041624+00:00
0.071695,22635498,-0.1035,0.1118,-0.9662,2026-09-08T14:42:37.044008+00:00
0.072842,22636645,-0.1049,0.1152,-0.9667,2026-09-08T14:42:37.046352+00:00
0.074007,22637810,-0.1035,0.1142,-0.9692,2026-09-08T14:42:37.048755+00:00
0.075169,22638972,-0.1044,0.1108,-0.9721,2026-09-08T14:42:37.051078+00:00
0.076312,22640115,-0.1054,0.1074,-0.9755,2026-09-08T14:42:37.053414+00:00
0.077478,22641281,-0.1064,0.1054,-0.9755,2026-09-08T14:42:37.055857+00:00
0.078625,22642428,-0.1083,0.1069,-0.9760,2026-09-08T14:42:37.058241+00:00
0.079791,22643594,-0.1059,0.1054,-0.9770,2026-09-08T14:42:37.060625+00:00
0.080937,22644740,-0.1069,0.1049,-0.9765,2026-09-08T14:42:37.063019+00:00
0.082091,22645894,-0.1093,0.1015,-0.9784,2026-09-08T14:42:37.065489+00:00
0.083257,22647060,-0.1088,0.1005,-0.9789,2026-09-08T14:42:37.067922+00:00
0.084404,22648207,-0.1083,0.1064,-0.9770,2026-09-08T14:42:37.070269+00:00
0.085573,22649376,-0.1074,0.1127,-0.9765,2026-09-08T14:42:37.072633+00:00
0.086720,22650523,-0.1054,0.1147,-0.9750,2026-09-08T14:42:37.075017+00:00
0.087875,22651678,-0.1020,0.1142,-0.9706,2026-09-08T14:42:37.077365+00:00
0.089028,22652831,-0.1020,0.1118,-0.9643,2026-09-08T14:42:37.079758+00:00
0.090195,22653998,-0.1025,0.1093,-0.9599,2026-09-08T14:42:37.082180+00:00
0.091353,22655156,-0.1059,0.1064,-0.9609,2026-09-08T14:42:37.084537+00:00
0.092500,22656303,-0.1118,0.1088,-0.9638,2026-09-08T14:42:37.086916+00:00
0.093666,22657469,-0.1122,0.1142,-0.9662,2026-09-08T14:42:37.089380+00:00
0.094820,22658623,-0.1093,0.1142,-0.9687,2026-09-08T14:42:37.091701+00:00
0.096011,22659814,-0.1064,0.1098,-0.9721,2026-09-08T14:42:37.094054+00:00
0.097138,22660941,-0.1039,0.1078,-0.9740,2026-09-08T14:42:37.096468+00:00
0.098285,22662088,-0.1039,0.1064,-0.9740,2026-09-08T14:42:37.098840+00:00
0.099453,22663256,-0.1059,0.1030,-0.9765,2026-09-08T14:42:37.101164+00:00
0.100604,22664407,-0.1074,0.1030,-0.9789,2026-09-08T14:42:37.103480+00:00
0.101750,22665553,-0.1113,0.1059,-0.9780,2026-09-08T14:42:37.105852+00:00
0.102916,22666719,-0.1137,0.1083,-0.9775,2026-09-08T14:42:37.108216+00:00
0.104068,22667871,-0.1088,0.1118,-0.9750,2026-09-08T14:42:37.110557+00:00
0.105234,22669037,-0.1039,0.1157,-0.9731,2026-09-08T14:42:37.112935+00:00
0.106389,22670192,-0.1054,0.1137,-0.9706,2026-09-08T14:42:37.115396+00:00
0.107536,22671339,-0.1074,0.1118,-0.9677,2026-09-08T14:42:37.117836+00:00
0.108702,22672505,-0.1088,0.1137,-0.9672,2026-09-08T14:42:37.120272+00:00
0.109849,22673652,-0.1098,0.1127,-0.9701,2026-09-08T14:42:37.122623+00:00
0.111002,22674805,-0.1074,0.1127,-0.9711,2026-09-08T14:42:37.124989+00:00
0.112169,22675972,-0.1039,0.1118,-0.9697,2026-09-08T14:42:37.127399+00:00
0.113315,22677118,-0.1054,0.1078,-0.9692,2026-09-08T14:42:37.129842+00:00
0.114481,22678284,-0.1088,0.1059,-0.9706,2026-09-08T14:42:37.132170+00:00
0.115628,22679431,-0.1064,0.1054,-0.9716,2026-09-08T14:42:37.134626+00:00
0.116795,22680598,-0.1049,0.1064,-0.9740,2026-09-08T14:42:37.137014+00:00
0.117949,22681752,-0.1103,0.1098,-0.9794,2026-09-08T14:42:37.139377+00:00
0.119097,22682900,-0.1122,0.1118,-0.9799,2026-09-08T14:42:37.141747+00:00
0.120252,22684055,-0.1078,0.1093,-0.9765,2026-09-08T14:42:37.144154+00:00
0.121418,22685221,-0.1078,0.1064,-0.9731,2026-09-08T14:42:37.146620+00:00
0.122565,22686368,-0.1108,0.1059,-0.9726,2026-09-08T14:42:37.148996+00:00
0.123718,22687521,-0.1078,0.1078,-0.9721,2026-09-08T14:42:37.151362+00:00
0.124910,22688713,-0.1069,0.1098,-0.9721,2026-09-08T14:42:37.155979+00:00
0.126039,22689842,-0.1074,0.1137,-0.9740,2026-09-08T14:42:37.156255+00:00
0.127185,22690988,-0.1054,0.1166,-0.9765,2026-09-08T14:42:37.158479+00:00
0.128352,22692155,-0.1059,0.1137,-0.9775,2026-09-08T14:42:37.161675+00:00
0.129501,22693304,-0.1083,0.1118,-0.9731,2026-09-08T14:42:37.163577+00:00
0.130667,22694470,-0.1118,0.1103,-0.9692,2026-09-08T14:42:37.166354+00:00
0.131813,22695616,-0.1113,0.1069,-0.9706,2026-09-08T14:42:37.168425+00:00
0.132967,22696770,-0.1113,0.1059,-0.9731,2026-09-08T14:42:37.170714+00:00
0.134131,22697934,-0.1118,0.1083,-0.9760,2026-09-08T14:42:37.173185+00:00
0.135282,22699085,-0.1078,0.1118,-0.9804,2026-09-08T14:42:37.175617+00:00
0.136447,22700250,-0.1049,0.1113,-0.9814,2026-09-08T14:42:37.178019+00:00
0.137594,22701397,-0.1059,0.1098,-0.9789,2026-09-08T14:42:37.180464+00:00
0.138760,22702563,-0.1098,0.1088,-0.9760,2026-09-08T14:42:37.182916+00:00
0.139918,22703721,-0.1093,0.1064,-0.9731,2026-09-08T14:42:37.185268+00:00
0.141065,22704868,-0.1078,0.1093,-0.9731,2026-09-08T14:42:37.187702+00:00
0.142231,22706034,-0.1074,0.1113,-0.9740,2026-09-08T14:42:37.190132+00:00
0.143378,22707181,-0.1069,0.1122,-0.9745,2026-09-08T14:42:37.192470+00:00
0.144544,22708347,-0.1078,0.1147,-0.9750,2026-09-08T14:42:37.194925+00:00
0.145692,22709495,-0.1088,0.1137,-0.9750,2026-09-08T14:42:37.197375+00:00
0.146846,22710649,-0.1064,0.1127,-0.9711,2026-09-08T14:42:37.199750+00:00
0.148012,22711815,-0.1069,0.1142,-0.9658,2026-09-08T14:42:37.202097+00:00
0.149171,22712974,-0.1113,0.1127,-0.9667,2026-09-08T14:42:37.204393+00:00
0.150312,22714115,-0.1098,0.1103,-0.9692,2026-09-08T14:42:37.206800+00:00
0.151478,22715281,-0.1088,0.1093,-0.9706,2026-09-08T14:42:37.209142+00:00
0.152632,22716435,-0.1074,0.1088,-0.9716,2026-09-08T14:42:37.211623+00:00
0.153804,22717607,-0.1093,0.1093,-0.9721,2026-09-08T14:42:37.213985+00:00
0.154954,22718757,-0.1098,0.1118,-0.9731,2026-09-08T14:42:37.216372+00:00
0.156101,22719904,-0.1069,0.1118,-0.9736,2026-09-08T14:42:37.218748+00:00
0.157267,22721070,-0.1054,0.1113,-0.9745,2026-09-08T14:42:37.221153+00:00
0.158406,22722209,-0.1044,0.1113,-0.9765,2026-09-08T14:42:37.223469+00:00
0.159572,22723375,-0.1030,0.1088,-0.9750,2026-09-08T14:42:37.225931+00:00
0.160719,22724522,-0.1049,0.1122,-0.9731,2026-09-08T14:42:37.228395+00:00
0.161886,22725689,-0.1054,0.1176,-0.9740,2026-09-08T14:42:37.230832+00:00
0.163035,22726838,-0.1054,0.1147,-0.9736,2026-09-08T14:42:37.233185+00:00
0.164192,22727995,-0.1078,0.1098,-0.9706,2026-09-08T14:42:37.235615+00:00
0.165357,22729160,-0.1044,0.1108,-0.9701,2026-09-08T14:42:37.237980+00:00
0.166504,22730307,-0.1015,0.1122,-0.9716,2026-09-08T14:42:37.240378+00:00
0.167669,22731472,-0.1030,0.1118,-0.9716,2026-09-08T14:42:37.242823+00:00
0.168822,22732625,-0.1039,0.1127,-0.9706,2026-09-08T14:42:37.245171+00:00
0.169969,22733772,-0.1035,0.1137,-0.9716,2026-09-08T14:42:37.247624+00:00
0.171135,22734938,-0.1054,0.1147,-0.9760,2026-09-08T14:42:37.249989+00:00
0.172282,22736085,-0.1059,0.1103,-0.9750,2026-09-08T14:42:37.252357+00:00
0.173448,22737251,-0.1069,0.1069,-0.9755,2026-09-08T14:42:37.254746+00:00
0.174597,22738400,-0.1093,0.1049,-0.9780,2026-09-08T14:42:37.257067+00:00
0.175751,22739554,-0.1049,0.1064,-0.9765,2026-09-08T14:42:37.259393+00:00
0.176898,22740701,-0.0996,0.1118,-0.9755,2026-09-08T14:42:37.261789+00:00
0.178064,22741867,-0.1020,0.1103,-0.9750,2026-09-08T14:42:37.264136+00:00
0.179218,22743021,-0.1059,0.1088,-0.9760,2026-09-08T14:42:37.266473+00:00
0.180384,22744187,-0.1064,0.1127,-0.9765,2026-09-08T14:42:37.268939+00:00
0.181525,22745328,-0.1039,0.1142,-0.9731,2026-09-08T14:42:37.271367+00:00
0.182697,22746500,-0.1010,0.1137,-0.9687,2026-09-08T14:42:37.273739+00:00
0.183845,22747648,-0.1025,0.1147,-0.9687,2026-09-08T14:42:37.276071+00:00
0.184992,22748795,-0.1049,0.1161,-0.9716,2026-09-08T14:42:37.278486+00:00
0.186158,22749961,-0.1035,0.1161,-0.9726,2026-09-08T14:42:37.280888+00:00
0.187319,22751122,-0.1025,0.1152,-0.9701,2026-09-08T14:42:37.283235+00:00
0.188472,22752275,-0.1044,0.1132,-0.9711,2026-09-08T14:42:37.285647+00:00
0.189663,22753466,-0.1064,0.1093,-0.9755,2026-09-08T14:42:37.288019+00:00
0.190783,22754586,-0.1054,0.1083,-0.9745,2026-09-08T14:42:37.290400+00:00
0.191930,22755733,-0.1035,0.1083,-0.9740,2026-09-08T14:42:37.292833+00:00
0.193102,22756905,-0.1030,0.1078,-0.9750,2026-09-08T14:42:37.295162+00:00
0.194253,22758056,-0.1039,0.1098,-0.9726,2026-09-08T14:42:37.297623+00:00
0.195400,22759203,-0.1044,0.1118,-0.9716,2026-09-08T14:42:37.300008+00:00
0.196565,22760368,-0.1049,0.1108,-0.9716,2026-09-08T14:42:37.302476+00:00
0.197718,22761521,-0.1064,0.1118,-0.9721,2026-09-08T14:42:37.304927+00:00
0.198884,22762687,-0.1035,0.1132,-0.9726,2026-09-08T14:42:37.307386+00:00
0.200031,22763834,-0.1025,0.1132,-0.9711,2026-09-08T14:42:37.309751+00:00
0.201197,22765000,-0.1039,0.1142,-0.9672,2026-09-08T14:42:37.312159+00:00
0.202344,22766147,-0.1039,0.1118,-0.9682,2026-09-08T14:42:37.314556+00:00
0.203493,22767296,-0.1049,0.1127,-0.9716,2026-09-08T14:42:37.316917+00:00
0.204666,22768469,-0.1044,0.1132,-0.9726,2026-09-08T14:42:37.319400+00:00
0.205813,22769616,-0.1025,0.1098,-0.9706,2026-09-08T14:42:37.321838+00:00
0.206967,22770770,-0.1020,0.1098,-0.9697,2026-09-08T14:42:37.324276+00:00
0.208125,22771928,-0.1025,0.1113,-0.9721,2026-09-08T14:42:37.326623+00:00
0.209291,22773094,-0.1044,0.1108,-0.9726,2026-09-08T14:42:37.329015+00:00
0.210448,22774251,-0.1030,0.1083,-0.9755,2026-09-08T14:42:37.331402+00:00
0.211601,22775404,-0.1025,0.1103,-0.9775,2026-09-08T14:42:37.333827+00:00
0.212750,22776553,-0.1049,0.1142,-0.9780,2026-09-08T14:42:37.336175+00:00
0.213916,22777719,-0.1025,0.1142,-0.9736,2026-09-08T14:42:37.338550+00:00
0.215062,22778865,-0.1015,0.1127,-0.9701,2026-09-08T14:42:37.340889+00:00
0.216219,22780022,-0.1035,0.1122,-0.9706,2026-09-08T14:42:37.343242+00:00
0.217383,22781186,-0.1039,0.1108,-0.9711,2026-09-08T14:42:37.345624+00:00
0.218573,22782376,-0.1049,0.1118,-0.9697,2026-09-08T14:42:37.348013+00:00
0.219688,22783491,-0.1049,0.1137,-0.9706,2026-09-08T14:42:37.350489+00:00
0.220854,22784657,-0.1049,0.1122,-0.9765,2026-09-08T14:42:37.355961+00:00
0.222004,22785807,-0.1069,0.1098,-0.9745,2026-09-08T14:42:37.355966+00:00
0.223156,22786959,-0.1059,0.1098,-0.9726,2026-09-08T14:42:37.358241+00:00
0.224322,22788125,-0.1054,0.1103,-0.9740,2026-09-08T14:42:37.359999+00:00
0.225468,22789271,-0.1083,0.1113,-0.9736,2026-09-08T14:42:37.362360+00:00
0.226623,22790426,-0.1083,0.1108,-0.9726,2026-09-08T14:42:37.364862+00:00
0.227789,22791592,-0.1049,0.1088,-0.9726,2026-09-08T14:42:37.367371+00:00
0.228936,22792739,-0.1059,0.1108,-0.9745,2026-09-08T14:42:37.369534+00:00
0.230102,22793905,-0.1078,0.1127,-0.9736,2026-09-08T14:42:37.371928+00:00
0.231248,22795051,-0.1064,0.1103,-0.9701,2026-09-08T14:42:37.374361+00:00
0.232416,22796219,-0.1030,0.1083,-0.9697,2026-09-08T14:42:37.376734+00:00
0.233571,22797374,-0.1030,0.1093,-0.9726,2026-09-08T14:42:37.379055+00:00
0.234718,22798521,-0.1044,0.1103,-0.9736,2026-09-08T14:42:37.381399+00:00
0.235865,22799668,-0.1039,0.1093,-0.9726,2026-09-08T14:42:37.383838+00:00
0.237022,22800825,-0.1044,0.1098,-0.9716,2026-09-08T14:42:37.386233+00:00
0.238188,22801991,-0.1074,0.1113,-0.9740,2026-09-08T14:42:37.388717+00:00
0.239344,22803147,-0.1069,0.1122,-0.9745,2026-09-08T14:42:37.391085+00:00
0.240497,22804300,-0.1044,0.1118,-0.9740,2026-09-08T14:42:37.393401+00:00
0.241645,22805448,-0.1064,0.1108,-0.9726,2026-09-08T14:42:37.395832+00:00
0.242811,22806614,-0.1069,0.1083,-0.9736,2026-09-08T14:42:37.398238+00:00
0.243957,22807760,-0.1098,0.1088,-0.9765,2026-09-08T14:42:37.400619+00:00
0.245111,22808914,-0.1103,0.1113,-0.9745,2026-09-08T14:42:37.403002+00:00
0.246283,22810086,-0.1074,0.1103,-0.9745,2026-09-08T14:42:37.405462+00:00
0.247474,22811277,-0.1078,0.1074,-0.9721,2026-09-08T14:42:37.407904+00:00
0.248584,22812387,-0.1074,0.1088,-0.9706,2026-09-08T14:42:37.410261+00:00
0.249750,22813553,-0.1059,0.1118,-0.9721,2026-09-08T14:42:37.412617+00:00
0.250897,22814700,-0.1064,0.1132,-0.9731,2026-09-08T14:42:37.415007+00:00
0.252056,22815859,-0.1093,0.1122,-0.9745,2026-09-08T14:42:37.417461+00:00
0.253203,22817006,-0.1098,0.1103,-0.9765,2026-09-08T14:42:37.419831+00:00
0.254368,22818171,-0.1064,0.1093,-0.9760,2026-09-08T14:42:37.422164+00:00
0.255530,22819333,-0.1054,0.1098,-0.9745,2026-09-08T14:42:37.424514+00:00
0.256670,22820473,-0.1108,0.1103,-0.9731,2026-09-08T14:42:37.426990+00:00
0.257836,22821639,-0.1122,0.1093,-0.9711,2026-09-08T14:42:37.429388+00:00
0.258983,22822786,-0.1074,0.1093,-0.9716,2026-09-08T14:42:37.431818+00:00
0.260149,22823952,-0.1074,0.1088,-0.9706,2026-09-08T14:42:37.434171+00:00
0.261295,22825098,-0.1069,0.1083,-0.9716,2026-09-08T14:42:37.436536+00:00
0.262449,22826252,-0.1064,0.1054,-0.9721,2026-09-08T14:42:37.438907+00:00
0.263616,22827419,-0.1069,0.1078,-0.9726,2026-09-08T14:42:37.441271+00:00
0.264762,22828565,-0.1088,0.1132,-0.9736,2026-09-08T14:42:37.443634+00:00
0.265924,22829727,-0.1093,0.1118,-0.9736,2026-09-08T14:42:37.446009+00:00
0.267071,22830874,-0.1059,0.1093,-0.9711,2026-09-08T14:42:37.448472+00:00
0.268227,22832030,-0.1069,0.1088,-0.9706,2026-09-08T14:42:37.451011+00:00
0.269399,22833202,-0.1098,0.1078,-0.9721,2026-09-08T14:42:37.453486+00:00
0.270548,22834351,-0.1088,0.1078,-0.9701,2026-09-08T14:42:37.455921+00:00
0.271701,22835504,-0.1078,0.1098,-0.9697,2026-09-08T14:42:37.458272+00:00
0.272848,22836651,-0.1064,0.1074,-0.9726,2026-09-08T14:42:37.460619+00:00
0.274013,22837816,-0.1049,0.1078,-0.9755,2026-09-08T14:42:37.463009+00:00
0.275167,22838970,-0.1054,0.1088,-0.9731,2026-09-08T14:42:37.465370+00:00
0.276359,22840162,-0.1044,0.1069,-0.9706,2026-09-08T14:42:37.467756+00:00
0.277487,22841290,-0.1054,0.1059,-0.9750,2026-09-08T14:42:37.470152+00:00
0.278635,22842438,-0.1088,0.1064,-0.9765,2026-09-08T14:42:37.472619+00:00
0.279782,22843585,-0.1069,0.1078,-0.9755,2026-09-08T14:42:37.474994+00:00
0.280945,22844748,-0.1049,0.1083,-0.9706,2026-09-08T14:42:37.477388+00:00
0.282111,22845914,-0.1069,0.1083,-0.9701,2026-09-08T14:42:37.479819+00:00
0.283257,22847060,-0.1064,0.1088,-0.9726,2026-09-08T14:42:37.482173+00:00
0.284410,22848213,-0.1054,0.1098,-0.9697,2026-09-08T14:42:37.484613+00:00
0.285575,22849378,-0.1078,0.1108,-0.9716,2026-09-08T14:42:37.487002+00:00
0.286731,22850534,-0.1078,0.1098,-0.9711,2026-09-08T14:42:37.489393+00:00
0.287877,22851680,-0.1054,0.1069,-0.9692,2026-09-08T14:42:37.491831+00:00
0.289043,22852846,-0.1083,0.1078,-0.9731,2026-09-08T14:42:37.494141+00:00
0.290190,22853993,-0.1074,0.1098,-0.9760,2026-09-08T14:42:37.496538+00:00
0.291343,22855146,-0.1049,0.1078,-0.9745,2026-09-08T14:42:37.498914+00:00
0.292509,22856312,-0.1069,0.1078,-0.9736,2026-09-08T14:42:37.501278+00:00
0.293656,22857459,-0.1078,0.1083,-0.9740,2026-09-08T14:42:37.503617+00:00
0.294818,22858621,-0.1083,0.1078,-0.9745,2026-09-08T14:42:37.506010+00:00
0.295965,22859768,-0.1093,0.1069,-0.9745,2026-09-08T14:42:37.508403+00:00
0.297134,22860937,-0.1103,0.1049,-0.9736,2026-09-08T14:42:37.510846+00:00
0.298288,22862091,-0.1093,0.1064,-0.9736,2026-09-08T14:42:37.513230+00:00
0.299436,22863239,-0.1074,0.1108,-0.9716,2026-09-08T14:42:37.515619+00:00
0.300593,22864396,-0.1059,0.1108,-0.9682,2026-09-08T14:42:37.518011+00:00
0.301759,22865562,-0.1064,0.1093,-0.9697,2026-09-08T14:42:37.520453+00:00
0.302905,22866708,-0.1069,0.1113,-0.9721,2026-09-08T14:42:37.522836+00:00
0.304059,22867862,-0.1044,0.1108,-0.9721,2026-09-08T14:42:37.525233+00:00
0.305250,22869053,-0.1030,0.1103,-0.9726,2026-09-08T14:42:37.527619+00:00
0.306380,22870183,-0.1020,0.1103,-0.9731,2026-09-08T14:42:37.529995+00:00
0.307526,22871329,-0.0991,0.1098,-0.9726,2026-09-08T14:42:37.532373+00:00
0.308692,22872495,-0.0996,0.1083,-0.9736,2026-09-08T14:42:37.534736+00:00
0.309839,22873642,-0.1025,0.1083,-0.9775,2026-09-08T14:42:37.537093+00:00
0.311005,22874808,-0.1049,0.1088,-0.9765,2026-09-08T14:42:37.539482+00:00
0.312152,22875955,-0.1059,0.1088,-0.9731,2026-09-08T14:42:37.541916+00:00
0.313304,22877107,-0.1030,0.1078,-0.9721,2026-09-08T14:42:37.544260+00:00
0.314469,22878272,-0.1020,0.1074,-0.9745,2026-09-08T14:42:37.546713+00:00
