# AccelStream v4 capture
# written_utc: 2026-09-11T17:12:50.178856+00:00
# t_us is the board's raw micros() reading for that sample.
# t_s is relative to the first row of this file.
# on/set/go are the firmware's own beep timestamps, on the same
# micros() clock as every sample - no host or keypress latency.
# on_t_us: 70460160
# on_t_s: -20.106531
# set_t_us: 93459299
# set_t_s: 2.892608
# go_t_us: 96434863
# go_t_s: 5.868172
# preroll_samples: 2499
# truncated: 0
# dropped: 0
# clockstep_us: 8
t_s,t_us,x_g,y_g,z_g
0.000000,90566691,-0.0107,-0.0102,1.0067
0.001097,90567788,-0.0117,-0.0127,1.0048
0.002284,90568975,-0.0083,-0.0151,1.0063
0.003427,90570118,-0.0088,-0.0166,1.0077
0.004606,90571297,-0.0083,-0.0122,1.0077
0.005743,90572434,-0.0073,-0.0098,1.0097
0.006899,90573590,-0.0088,-0.0112,1.0092
0.008064,90574755,-0.0117,-0.0122,1.0087
0.009212,90575903,-0.0102,-0.0122,1.0082
0.010391,90577082,-0.0078,-0.0122,1.0087
0.011528,90578219,-0.0088,-0.0142,1.0111
0.012710,90579401,-0.0093,-0.0151,1.0106
0.013865,90580556,-0.0088,-0.0142,1.0102
0.015030,90581721,-0.0088,-0.0132,1.0087
0.016168,90582859,-0.0107,-0.0122,1.0058
0.017345,90584036,-0.0098,-0.0122,1.0048
0.018483,90585174,-0.0107,-0.0122,1.0087
0.019638,90586329,-0.0093,-0.0122,1.0082
0.020809,90587500,-0.0088,-0.0117,1.0092
0.021973,90588664,-0.0098,-0.0122,1.0097
0.023111,90589802,-0.0093,-0.0122,1.0058
0.024290,90590981,-0.0117,-0.0112,1.0072
0.025427,90592118,-0.0127,-0.0107,1.0082
0.026606,90593297,-0.0127,-0.0107,1.0077
0.027777,90594468,-0.0102,-0.0117,1.0087
0.028941,90595632,-0.0093,-0.0122,1.0077
0.030078,90596769,-0.0122,-0.0117,1.0058
0.031216,90597907,-0.0122,-0.0112,1.0058
0.032394,90599085,-0.0102,-0.0107,1.0058
0.033532,90600223,-0.0083,-0.0127,1.0067
0.034711,90601402,-0.0093,-0.0156,1.0072
0.035841,90602532,-0.0093,-0.0146,1.0077
0.037028,90603719,-0.0088,-0.0142,1.0116
0.038167,90604858,-0.0083,-0.0156,1.0092
0.039305,90605996,-0.0083,-0.0137,1.0067
0.040484,90607175,-0.0088,-0.0112,1.0077
0.041622,90608313,-0.0098,-0.0117,1.0092
0.042777,90609468,-0.0112,-0.0132,1.0106
0.043941,90610632,-0.0122,-0.0132,1.0077
0.045120,90611811,-0.0122,-0.0127,1.0048
0.046257,90612948,-0.0107,-0.0112,1.0067
0.047434,90614125,-0.0093,-0.0117,1.0077
0.048573,90615264,-0.0073,-0.0132,1.0053
0.049728,90616419,-0.0088,-0.0142,1.0043
0.050892,90617583,-0.0112,-0.0151,1.0048
0.052071,90618762,-0.0102,-0.0166,1.0072
0.053209,90619900,-0.0078,-0.0137,1.0082
0.054386,90621077,-0.0083,-0.0093,1.0048
0.055525,90622216,-0.0063,-0.0107,1.0048
0.056698,90623389,-0.0034,-0.0107,1.0058
0.057821,90624512,-0.0083,-0.0102,1.0072
0.059000,90625691,-0.0102,-0.0102,1.0097
0.060137,90626828,-0.0112,-0.0112,1.0077
0.061320,90628011,-0.0142,-0.0107,1.0077
0.062475,90629166,-0.0142,-0.0137,1.0087
0.063657,90630348,-0.0088,-0.0142,1.0077
0.064780,90631471,-0.0068,-0.0107,1.0092
0.065958,90632649,-0.0093,-0.0122,1.0077
0.067096,90633787,-0.0102,-0.0127,1.0072
0.068274,90634965,-0.0122,-0.0117,1.0097
0.069418,90636109,-0.0122,-0.0102,1.0082
0.070584,90637275,-0.0107,-0.0107,1.0097
0.071713,90638404,-0.0102,-0.0107,1.0082
0.072904,90639595,-0.0093,-0.0102,1.0072
0.074046,90640737,-0.0102,-0.0098,1.0082
0.075183,90641874,-0.0127,-0.0098,1.0077
0.076362,90643053,-0.0102,-0.0112,1.0097
0.077501,90644192,-0.0083,-0.0102,1.0102
0.078697,90645388,-0.0078,-0.0098,1.0092
0.079844,90646535,-0.0073,-0.0117,1.0097
0.080980,90647671,-0.0088,-0.0132,1.0097
0.082159,90648850,-0.0068,-0.0132,1.0063
0.083296,90649987,-0.0063,-0.0146,1.0038
0.084478,90651169,-0.0068,-0.0156,1.0048
0.085633,90652324,-0.0063,-0.0137,1.0082
0.086798,90653489,-0.0083,-0.0137,1.0097
0.087936,90654627,-0.0102,-0.0151,1.0077
0.089113,90655804,-0.0093,-0.0132,1.0058
0.090250,90656941,-0.0083,-0.0107,1.0116
0.091404,90658095,-0.0098,-0.0117,1.0121
0.092575,90659266,-0.0102,-0.0142,1.0058
0.093738,90660429,-0.0093,-0.0142,1.0072
0.094916,90661607,-0.0073,-0.0137,1.0102
0.096054,90662745,-0.0049,-0.0142,1.0111
0.097231,90663922,-0.0078,-0.0132,1.0092
0.098387,90665078,-0.0146,-0.0117,1.0082
0.099511,90666202,-0.0117,-0.0102,1.0082
0.100708,90667399,-0.0093,-0.0117,1.0077
0.101845,90668536,-0.0102,-0.0127,1.0092
0.103023,90669714,-0.0083,-0.0146,1.0087
0.104161,90670852,-0.0078,-0.0142,1.0087
0.105340,90672031,-0.0088,-0.0107,1.0092
0.106465,90673156,-0.0098,-0.0122,1.0097
0.107635,90674326,-0.0098,-0.0127,1.0106
0.108800,90675491,-0.0083,-0.0117,1.0102
0.109937,90676628,-0.0088,-0.0112,1.0072
0.111116,90677807,-0.0112,-0.0107,1.0053
0.112254,90678945,-0.0122,-0.0112,1.0077
0.113433,90680124,-0.0117,-0.0137,1.0102
0.114589,90681280,-0.0117,-0.0127,1.0097
0.115739,90682430,-0.0088,-0.0122,1.0082
0.116882,90683573,-0.0063,-0.0137,1.0077
0.118061,90684752,-0.0093,-0.0122,1.0082
0.119197,90685888,-0.0102,-0.0107,1.0092
0.120379,90687070,-0.0073,-0.0112,1.0092
0.121533,90688224,-0.0083,-0.0122,1.0063
0.122699,90689390,-0.0117,-0.0127,1.0048
0.123837,90690528,-0.0122,-0.0132,1.0072
0.125017,90691708,-0.0102,-0.0142,1.0097
0.126153,90692844,-0.0063,-0.0161,1.0097
0.127308,90693999,-0.0054,-0.0156,1.0072
0.128483,90695174,-0.0068,-0.0151,1.0072
0.129647,90696338,-0.0098,-0.0146,1.0102
0.130785,90697476,-0.0098,-0.0127,1.0126
0.131964,90698655,-0.0088,-0.0117,1.0116
0.133101,90699792,-0.0102,-0.0107,1.0097
0.134280,90700971,-0.0098,-0.0107,1.0067
0.135449,90702140,-0.0107,-0.0098,1.0024
0.136612,90703303,-0.0107,-0.0112,1.0038
0.137749,90704440,-0.0093,-0.0122,1.0067
0.138887,90705578,-0.0088,-0.0137,1.0053
0.140065,90706756,-0.0088,-0.0146,1.0058
0.141202,90707893,-0.0098,-0.0132,1.0092
0.142382,90709073,-0.0107,-0.0151,1.0106
0.143511,90710202,-0.0093,-0.0156,1.0092
0.144698,90711389,-0.0073,-0.0142,1.0097
0.145838,90712529,-0.0088,-0.0151,1.0067
0.147015,90713706,-0.0078,-0.0166,1.0058
0.148165,90714856,-0.0078,-0.0156,1.0087
0.149303,90715994,-0.0088,-0.0156,1.0077
0.150458,90717149,-0.0098,-0.0137,1.0077
0.151622,90718313,-0.0093,-0.0117,1.0082
0.152800,90719491,-0.0078,-0.0117,1.0082
0.153937,90720628,-0.0102,-0.0112,1.0077
0.155116,90721807,-0.0083,-0.0122,1.0077
0.156254,90722945,-0.0083,-0.0127,1.0077
0.157408,90724099,-0.0093,-0.0137,1.0087
0.158573,90725264,-0.0098,-0.0142,1.0082
0.159752,90726443,-0.0112,-0.0122,1.0082
0.160889,90727580,-0.0112,-0.0122,1.0092
0.162068,90728759,-0.0093,-0.0127,1.0092
0.163206,90729897,-0.0068,-0.0112,1.0097
0.164381,90731072,-0.0098,-0.0117,1.0067
0.165504,90732195,-0.0098,-0.0112,1.0053
0.166682,90733373,-0.0093,-0.0107,1.0087
0.167820,90734511,-0.0098,-0.0117,1.0097
0.168999,90735690,-0.0117,-0.0142,1.0102
0.170154,90736845,-0.0098,-0.0146,1.0121
0.171336,90738027,-0.0078,-0.0122,1.0116
0.172458,90739149,-0.0098,-0.0122,1.0097
0.173636,90740327,-0.0122,-0.0127,1.0072
0.174774,90741465,-0.0132,-0.0146,1.0111
0.175952,90742643,-0.0117,-0.0161,1.0146
0.177090,90743781,-0.0112,-0.0132,1.0102
0.178285,90744976,-0.0093,-0.0112,1.0092
0.179391,90746082,-0.0083,-0.0127,1.0077
0.180583,90747274,-0.0093,-0.0107,1.0043
0.181720,90748411,-0.0098,-0.0102,1.0058
0.182901,90749592,-0.0088,-0.0112,1.0092
0.184054,90750745,-0.0098,-0.0137,1.0072
0.185191,90751882,-0.0107,-0.0151,1.0043
0.186347,90753038,-0.0112,-0.0127,1.0063
0.187497,90754188,-0.0102,-0.0142,1.0082
0.188676,90755367,-0.0088,-0.0127,1.0072
0.189826,90756517,-0.0102,-0.0112,1.0072
0.191004,90757695,-0.0132,-0.0102,1.0077
0.192143,90758834,-0.0117,-0.0102,1.0087
0.193297,90759988,-0.0117,-0.0117,1.0106
0.194462,90761153,-0.0102,-0.0122,1.0102
0.195600,90762291,-0.0088,-0.0146,1.0092
0.196778,90763469,-0.0117,-0.0171,1.0097
0.197914,90764605,-0.0117,-0.0156,1.0116
0.199069,90765760,-0.0112,-0.0137,1.0082
0.200236,90766927,-0.0122,-0.0122,1.0067
0.201399,90768090,-0.0132,-0.0112,1.0102
0.202578,90769269,-0.0117,-0.0156,1.0116
0.203716,90770407,-0.0102,-0.0161,1.0131
0.204854,90771545,-0.0122,-0.0132,1.0116
0.206033,90772724,-0.0102,-0.0137,1.0102
0.207213,90773904,-0.0078,-0.0151,1.0126
0.208377,90775068,-0.0068,-0.0161,1.0116
0.209514,90776205,-0.0083,-0.0142,1.0077
0.210652,90777343,-0.0083,-0.0127,1.0072
0.211830,90778521,-0.0093,-0.0142,1.0087
0.212968,90779659,-0.0117,-0.0161,1.0087
0.214163,90780854,-0.0102,-0.0142,1.0072
0.215343,90782034,-0.0088,-0.0127,1.0097
0.216439,90783130,-0.0098,-0.0146,1.0097
0.217617,90784308,-0.0098,-0.0122,1.0102
0.218756,90785447,-0.0112,-0.0102,1.0092
0.219935,90786626,-0.0107,-0.0122,1.0067
0.221072,90787763,-0.0107,-0.0107,1.0063
0.222228,90788919,-0.0137,-0.0102,1.0038
0.223392,90790083,-0.0117,-0.0112,1.0058
0.224541,90791232,-0.0078,-0.0107,1.0092
0.225720,90792411,-0.0059,-0.0093,1.0102
0.226857,90793548,-0.0083,-0.0093,1.0111
0.228037,90794728,-0.0117,-0.0102,1.0106
0.229193,90795884,-0.0127,-0.0117,1.0106
0.230357,90797048,-0.0122,-0.0122,1.0067
0.231495,90798186,-0.0112,-0.0102,1.0053
0.232673,90799364,-0.0107,-0.0107,1.0067
0.233810,90800501,-0.0122,-0.0112,1.0092
0.234965,90801656,-0.0102,-0.0142,1.0111
0.236139,90802830,-0.0073,-0.0137,1.0106
0.237302,90803993,-0.0078,-0.0122,1.0121
0.238440,90805131,-0.0112,-0.0132,1.0102
0.239619,90806310,-0.0112,-0.0122,1.0063
0.240757,90807448,-0.0088,-0.0132,1.0063
0.241935,90808626,-0.0088,-0.0137,1.0063
0.243104,90809795,-0.0098,-0.0127,1.0063
0.244268,90810959,-0.0107,-0.0142,1.0063
0.245406,90812097,-0.0117,-0.0151,1.0077
0.246544,90813235,-0.0127,-0.0161,1.0072
0.247695,90814386,-0.0151,-0.0142,1.0053
0.248848,90815539,-0.0137,-0.0127,1.0043
0.250027,90816718,-0.0117,-0.0127,1.0072
0.251224,90817915,-0.0132,-0.0112,1.0111
0.252320,90819011,-0.0117,-0.0142,1.0102
0.253506,90820197,-0.0093,-0.0146,1.0102
0.254644,90821335,-0.0098,-0.0132,1.0111
0.255822,90822513,-0.0122,-0.0156,1.0102
0.256960,90823651,-0.0142,-0.0142,1.0102
0.258115,90824806,-0.0151,-0.0137,1.0082
0.259271,90825962,-0.0122,-0.0137,1.0077
0.260449,90827140,-0.0107,-0.0137,1.0116
0.261587,90828278,-0.0122,-0.0156,1.0111
0.262766,90829457,-0.0137,-0.0151,1.0097
0.263904,90830595,-0.0132,-0.0137,1.0092
0.265059,90831750,-0.0107,-0.0132,1.0072
0.266223,90832914,-0.0112,-0.0132,1.0087
0.267361,90834052,-0.0112,-0.0127,1.0111
0.268539,90835230,-0.0112,-0.0132,1.0121
0.269676,90836367,-0.0117,-0.0132,1.0121
0.270831,90837522,-0.0122,-0.0137,1.0106
0.271990,90838681,-0.0142,-0.0132,1.0102
0.273154,90839845,-0.0151,-0.0102,1.0111
0.274332,90841023,-0.0142,-0.0127,1.0092
0.275476,90842167,-0.0112,-0.0132,1.0063
0.276628,90843319,-0.0112,-0.0102,1.0072
0.277782,90844473,-0.0142,-0.0127,1.0067
0.278963,90845654,-0.0127,-0.0151,1.0067
0.280126,90846817,-0.0112,-0.0156,1.0087
0.281264,90847955,-0.0112,-0.0132,1.0067
0.282401,90849092,-0.0102,-0.0102,1.0048
0.283578,90850269,-0.0112,-0.0098,1.0053
0.284716,90851407,-0.0102,-0.0122,1.0048
0.285912,90852603,-0.0117,-0.0137,1.0053
0.287088,90853779,-0.0117,-0.0117,1.0102
0.288185,90854876,-0.0083,-0.0107,1.0077
0.289364,90856055,-0.0073,-0.0083,1.0038
0.290501,90857192,-0.0068,-0.0112,1.0082
0.291679,90858370,-0.0068,-0.0156,1.0092
0.292817,90859508,-0.0063,-0.0142,1.0067
0.293971,90860662,-0.0068,-0.0132,1.0067
0.295122,90861813,-0.0083,-0.0127,1.0077
0.296300,90862991,-0.0078,-0.0112,1.0097
0.297452,90864143,-0.0112,-0.0112,1.0102
0.298631,90865322,-0.0112,-0.0137,1.0111
0.299770,90866461,-0.0083,-0.0127,1.0111
0.300925,90867616,-0.0088,-0.0122,1.0077
0.302089,90868780,-0.0078,-0.0142,1.0053
0.303227,90869918,-0.0073,-0.0122,1.0038
0.304405,90871096,-0.0054,-0.0088,1.0058
0.305541,90872232,-0.0068,-0.0093,1.0116
0.306696,90873387,-0.0102,-0.0107,1.0116
0.307861,90874552,-0.0112,-0.0137,1.0087
0.309025,90875716,-0.0088,-0.0161,1.0063
0.310163,90876854,-0.0088,-0.0122,1.0053
0.311341,90878032,-0.0088,-0.0098,1.0058
0.312479,90879170,-0.0068,-0.0112,1.0063
0.313658,90880349,-0.0083,-0.0122,1.0077
0.314821,90881512,-0.0093,-0.0146,1.0116
0.315985,90882676,-0.0083,-0.0146,1.0111
0.317123,90883814,-0.0083,-0.0122,1.0111
0.318260,90884951,-0.0093,-0.0132,1.0106
0.319438,90886129,-0.0098,-0.0122,1.0067
0.320576,90887267,-0.0068,-0.0107,1.0082
0.321771,90888462,-0.0063,-0.0102,1.0092
0.322908,90889599,-0.0098,-0.0127,1.0087
0.324061,90890752,-0.0098,-0.0132,1.0092
0.325199,90891890,-0.0068,-0.0107,1.0102
0.326377,90893068,-0.0054,-0.0107,1.0106
0.327522,90894213,-0.0054,-0.0122,1.0092
0.328700,90895391,-0.0068,-0.0137,1.0116
0.329830,90896521,-0.0078,-0.0137,1.0126
0.330995,90897686,-0.0073,-0.0137,1.0102
0.332139,90898830,-0.0083,-0.0127,1.0092
0.333318,90900009,-0.0059,-0.0102,1.0097
0.334455,90901146,-0.0073,-0.0088,1.0082
0.335603,90902294,-0.0122,-0.0102,1.0106
0.336798,90903489,-0.0142,-0.0107,1.0106
0.337949,90904640,-0.0146,-0.0107,1.0072
0.339087,90905778,-0.0142,-0.0142,1.0102
0.340265,90906956,-0.0142,-0.0161,1.0102
0.341403,90908094,-0.0146,-0.0146,1.0111
0.342556,90909247,-0.0127,-0.0127,1.0121
0.343728,90910419,-0.0102,-0.0127,1.0097
0.344891,90911582,-0.0098,-0.0127,1.0106
0.346030,90912721,-0.0107,-0.0102,1.0102
0.347180,90913871,-0.0117,-0.0102,1.0072
0.348359,90915050,-0.0112,-0.0122,1.0097
0.349514,90916205,-0.0102,-0.0132,1.0102
0.350687,90917378,-0.0127,-0.0132,1.0082
0.351851,90918542,-0.0142,-0.0112,1.0092
0.352988,90919679,-0.0107,-0.0117,1.0058
0.354126,90920817,-0.0098,-0.0156,1.0058
0.355272,90921963,-0.0102,-0.0156,1.0072
0.356428,90923119,-0.0073,-0.0137,1.0072
0.357624,90924315,-0.0068,-0.0122,1.0106
0.358731,90925422,-0.0093,-0.0137,1.0111
0.359922,90926613,-0.0093,-0.0137,1.0111
0.361060,90927751,-0.0098,-0.0137,1.0092
0.362237,90928928,-0.0122,-0.0142,1.0067
0.363389,90930080,-0.0112,-0.0146,1.0067
0.364526,90931217,-0.0107,-0.0142,1.0106
0.365682,90932373,-0.0107,-0.0127,1.0136
0.366832,90933523,-0.0083,-0.0137,1.0082
