# AccelStream v4 capture
# written_utc: 2026-09-14T16:25:41.763922+00:00
# t_us is the board's raw micros() reading for that sample.
# t_s is relative to the first row of this file.
# on/set/go are the firmware's own beep timestamps, on the same
# micros() clock as every sample - no host or keypress latency.
# on_t_us: 60483149
# on_t_s: -18.562915
# set_t_us: 81935283
# set_t_s: 2.889219
# go_t_us: 83751856
# go_t_s: 4.705792
# arm_t_us: 82935628
# arm_t_s: 3.889564
# arm_peak_mg: 12.41
# arm_capped: 0
# preroll_samples: 2499
# truncated: 0
# dropped: 0
# clockstep_us: 8
# board_verdict: valid start
# board_reaction_ms: 173.508
# board_onset_t_us: 83925364
t_s,t_us,x_g,y_g,z_g
0.000000,79046064,-0.0249,-0.0049,1.0102
0.001180,79047244,-0.0234,-0.0024,1.0116
0.002344,79048408,-0.0239,-0.0029,1.0116
0.003484,79049548,-0.0259,-0.0044,1.0087
0.004622,79050686,-0.0249,-0.0063,1.0043
0.005832,79051896,-0.0210,-0.0054,1.0053
0.006971,79053035,-0.0220,-0.0024,1.0067
0.008095,79054159,-0.0239,-0.0010,1.0048
0.009274,79055338,-0.0259,-0.0029,1.0063
0.010440,79056504,-0.0244,-0.0059,1.0072
0.011578,79057642,-0.0259,-0.0044,1.0058
0.012716,79058780,-0.0273,-0.0049,1.0067
0.013871,79059935,-0.0249,-0.0049,1.0092
0.015050,79061114,-0.0234,-0.0024,1.0106
0.016188,79062252,-0.0215,-0.0020,1.0087
0.017353,79063417,-0.0215,-0.0029,1.0067
0.018532,79064596,-0.0224,-0.0054,1.0082
0.019671,79065735,-0.0234,-0.0034,1.0092
0.020826,79066890,-0.0224,-0.0034,1.0087
0.022006,79068070,-0.0229,-0.0044,1.0097
0.023144,79069208,-0.0234,-0.0034,1.0092
0.024309,79070373,-0.0239,-0.0059,1.0082
0.025448,79071512,-0.0224,-0.0063,1.0082
0.026632,79072696,-0.0190,-0.0029,1.0058
0.027788,79073852,-0.0210,0.0000,1.0077
0.028927,79074991,-0.0249,-0.0034,1.0102
0.030077,79076141,-0.0249,-0.0039,1.0072
0.031243,79077307,-0.0215,-0.0020,1.0067
0.032381,79078445,-0.0215,-0.0034,1.0053
0.033546,79079610,-0.0220,-0.0029,1.0038
