# AccelStream v4 capture
# written_utc: 2026-09-14T16:38:54.660827+00:00
# t_us is the board's raw micros() reading for that sample.
# t_s is relative to the first row of this file.
# on/set/go are the firmware's own beep timestamps, on the same
# micros() clock as every sample - no host or keypress latency.
# on_t_us: 9808325
# on_t_s: -19.979560
# set_t_us: 32677398
# set_t_s: 2.889513
# go_t_us: 34399062
# go_t_s: 4.611177
# arm_t_us: 33677757
# arm_t_s: 3.889872
# arm_peak_mg: 14.5
# arm_capped: 0
# preroll_samples: 2499
# truncated: 0
# dropped: 0
# clockstep_us: 8
# board_verdict: valid start
# board_reaction_ms: 141.194
# board_onset_t_us: 34540256
t_s,t_us,x_g,y_g,z_g
0.000000,29787885,-0.0234,-0.0034,1.0106
0.001184,29789069,-0.0239,-0.0063,1.0087
0.002321,29790206,-0.0234,-0.0068,1.0082
0.003488,29791373,-0.0249,-0.0063,1.0063
0.004636,29792521,-0.0268,-0.0063,1.0072
0.005791,29793676,-0.0268,-0.0068,1.0072
0.006929,29794814,-0.0239,-0.0063,1.0097
0.008110,29795995,-0.0215,-0.0039,1.0126
0.009239,29797124,-0.0234,-0.0049,1.0121
0.010404,29798289,-0.0229,-0.0093,1.0092
0.011549,29799434,-0.0215,-0.0088,1.0072
0.012745,29800630,-0.0234,-0.0054,1.0092
0.013885,29801770,-0.0229,-0.0044,1.0126
0.015023,29802908,-0.0259,-0.0044,1.0102
0.016204,29804089,-0.0278,-0.0034,1.0063
0.017342,29805227,-0.0239,-0.0034,1.0077
0.018508,29806393,-0.0239,-0.0049,1.0072
0.019647,29807532,-0.0254,-0.0059,1.0067
0.020818,29808703,-0.0229,-0.0054,1.0058
0.021956,29809841,-0.0249,-0.0039,1.0028
0.023135,29811020,-0.0249,-0.0034,1.0038
0.024272,29812157,-0.0229,-0.0039,1.0106
0.025423,29813308,-0.0229,-0.0039,1.0097
0.026569,29814454,-0.0234,-0.0044,1.0087
0.027724,29815609,-0.0244,-0.0054,1.0116
0.028903,29816788,-0.0264,-0.0059,1.0097
0.030043,29817928,-0.0264,-0.0049,1.0102
0.031191,29819076,-0.0244,-0.0063,1.0087
0.032357,29820242,-0.0278,-0.0078,1.0063
0.033505,29821390,-0.0278,-0.0059,1.0063
0.034661,29822546,-0.0254,-0.0049,1.0077
0.035840,29823725,-0.0268,-0.0063,1.0131
0.036978,29824863,-0.0273,-0.0054,1.0146
0.038132,29826017,-0.0268,-0.0063,1.0116
0.039298,29827183,-0.0239,-0.0068,1.0087
0.040451,29828336,-0.0224,-0.0049,1.0058
0.041617,29829502,-0.0224,-0.0054,1.0043
0.042756,29830641,-0.0220,-0.0044,1.0058
0.043936,29831821,-0.0234,-0.0054,1.0087
0.045086,29832971,-0.0259,-0.0073,1.0097
0.046251,29834136,-0.0254,-0.0078,1.0092
0.047408,29835293,-0.0229,-0.0054,1.0077
0.048575,29836460,-0.0239,-0.0059,1.0077
0.049715,29837600,-0.0244,-0.0073,1.0082
0.050855,29838740,-0.0234,-0.0054,1.0111
0.051994,29839879,-0.0229,-0.0054,1.0131
0.053198,29841083,-0.0259,-0.0034,1.0092
0.054314,29842199,-0.0264,-0.0024,1.0077
0.055512,29843397,-0.0259,-0.0059,1.0106
0.056620,29844505,-0.0254,-0.0039,1.0126
0.057800,29845685,-0.0239,-0.0044,1.0116
0.058943,29846828,-0.0244,-0.0083,1.0097
0.060121,29848006,-0.0239,-0.0059,1.0067
0.061252,29849137,-0.0224,-0.0034,1.0063
0.062404,29850289,-0.0215,-0.0068,1.0072
0.063559,29851444,-0.0244,-0.0093,1.0077
0.064738,29852623,-0.0264,-0.0054,1.0077
0.065877,29853762,-0.0273,-0.0044,1.0102
0.067055,29854940,-0.0229,-0.0073,1.0136
0.068182,29856067,-0.0210,-0.0078,1.0126
0.069330,29857215,-0.0224,-0.0049,1.0087
0.070486,29858371,-0.0220,-0.0044,1.0092
0.071677,29859562,-0.0220,-0.0034,1.0097
0.072815,29860700,-0.0205,0.0000,1.0072
0.073969,29861854,-0.0224,-0.0005,1.0067
0.075136,29863021,-0.0249,-0.0034,1.0092
0.076280,29864165,-0.0249,-0.0049,1.0106
0.077435,29865320,-0.0249,-0.0039,1.0106
0.078615,29866500,-0.0249,-0.0029,1.0097
0.079755,29867640,-0.0229,-0.0039,1.0082
0.080920,29868805,-0.0224,-0.0063,1.0072
0.082086,29869971,-0.0239,-0.0078,1.0063
0.083200,29871085,-0.0205,-0.0044,1.0077
0.084396,29872281,-0.0205,-0.0034,1.0106
0.085536,29873421,-0.0239,-0.0049,1.0102
0.086686,29874571,-0.0229,-0.0039,1.0077
0.087851,29875736,-0.0215,-0.0029,1.0087
0.089026,29876911,-0.0259,-0.0034,1.0087
0.090140,29878025,-0.0259,-0.0024,1.0092
0.091319,29879204,-0.0259,-0.0005,1.0111
0.092491,29880376,-0.0268,-0.0044,1.0106
0.093643,29881528,-0.0254,-0.0044,1.0106
0.094781,29882666,-0.0249,-0.0049,1.0116
0.095988,29883873,-0.0239,-0.0088,1.0092
0.097100,29884985,-0.0244,-0.0049,1.0082
0.098252,29886137,-0.0254,-0.0010,1.0102
0.099407,29887292,-0.0259,-0.0044,1.0097
0.100545,29888430,-0.0264,-0.0049,1.0087
0.101725,29889610,-0.0249,-0.0054,1.0087
0.102862,29890747,-0.0239,-0.0083,1.0082
0.104028,29891913,-0.0264,-0.0102,1.0097
0.105176,29893061,-0.0229,-0.0088,1.0077
0.106331,29894216,-0.0239,-0.0059,1.0082
0.107484,29895369,-0.0259,-0.0073,1.0097
0.108665,29896550,-0.0229,-0.0068,1.0097
0.109814,29897699,-0.0249,-0.0068,1.0102
0.110981,29898866,-0.0234,-0.0063,1.0058
0.112119,29900004,-0.0229,-0.0034,1.0053
0.113276,29901161,-0.0234,-0.0024,1.0072
0.114457,29902342,-0.0210,-0.0034,1.0082
0.115597,29903482,-0.0215,-0.0054,1.0097
0.116767,29904652,-0.0220,-0.0049,1.0097
0.117933,29905818,-0.0224,-0.0044,1.0077
