# AccelStream v4 capture
# written_utc: 2026-09-14T16:49:01.456251+00:00
# t_us is the board's raw micros() reading for that sample.
# t_s is relative to the first row of this file.
# on/set/go are the firmware's own beep timestamps, on the same
# micros() clock as every sample - no host or keypress latency.
# on_t_us: 613420885
# on_t_s: -20.766191
# set_t_us: 637078115
# set_t_s: 2.891039
# go_t_us: 638831781
# go_t_s: 4.644705
# arm_t_us: 638078745
# arm_t_s: 3.891669
# arm_peak_mg: 7.11
# arm_capped: 0
# preroll_samples: 2499
# truncated: 0
# dropped: 0
# clockstep_us: 8
# board_verdict: valid start
# board_reaction_ms: 140.053
# board_onset_t_us: 638971834
t_s,t_us,x_g,y_g,z_g
0.000000,634187076,-0.0239,-0.0049,1.0092
0.001140,634188216,-0.0229,-0.0049,1.0087
0.002271,634189347,-0.0220,-0.0054,1.0097
0.003451,634190527,-0.0220,-0.0049,1.0097
0.004589,634191665,-0.0220,-0.0059,1.0082
0.005770,634192846,-0.0215,-0.0073,1.0092
0.006909,634193985,-0.0244,-0.0088,1.0106
0.008077,634195153,-0.0254,-0.0059,1.0106
0.009233,634196309,-0.0229,-0.0039,1.0097
0.010373,634197449,-0.0239,-0.0044,1.0102
0.011552,634198628,-0.0273,-0.0044,1.0106
0.012692,634199768,-0.0278,-0.0063,1.0067
0.013871,634200947,-0.0259,-0.0063,1.0053
0.015023,634202099,-0.0264,-0.0059,1.0092
0.016179,634203255,-0.0249,-0.0063,1.0116
0.017317,634204393,-0.0210,-0.0059,1.0092
0.018496,634205572,-0.0190,-0.0054,1.0072
0.019636,634206712,-0.0190,-0.0059,1.0082
0.020786,634207862,-0.0215,-0.0063,1.0102
0.021968,634209044,-0.0229,-0.0049,1.0092
0.023124,634210200,-0.0205,-0.0029,1.0058
0.024264,634211340,-0.0181,-0.0039,1.0077
0.025443,634212519,-0.0185,-0.0068,1.0111
0.026581,634213657,-0.0200,-0.0059,1.0087
0.027725,634214801,-0.0205,-0.0063,1.0087
0.028891,634215967,-0.0215,-0.0073,1.0102
0.030088,634217164,-0.0215,-0.0029,1.0063
0.031228,634218304,-0.0200,-0.0034,1.0048
0.032382,634219458,-0.0220,-0.0088,1.0092
0.033520,634220596,-0.0234,-0.0093,1.0126
0.034699,634221775,-0.0224,-0.0073,1.0097
0.035865,634222941,-0.0215,-0.0063,1.0053
0.037006,634224082,-0.0210,-0.0054,1.0067
0.038136,634225212,-0.0229,-0.0044,1.0092
0.039316,634226392,-0.0249,-0.0054,1.0072
0.040456,634227532,-0.0249,-0.0083,1.0063
0.041635,634228711,-0.0224,-0.0083,1.0053
0.042800,634229876,-0.0215,-0.0068,1.0028
0.043947,634231023,-0.0210,-0.0059,1.0038
0.045104,634232180,-0.0215,-0.0049,1.0082
0.046247,634233323,-0.0254,-0.0044,1.0077
0.047412,634234488,-0.0264,-0.0049,1.0058
0.048550,634235626,-0.0259,-0.0049,1.0097
0.049730,634236806,-0.0234,-0.0068,1.0121
0.050870,634237946,-0.0224,-0.0054,1.0102
0.052026,634239102,-0.0244,-0.0034,1.0092
0.053206,634240282,-0.0220,-0.0063,1.0102
0.054344,634241420,-0.0224,-0.0073,1.0082
0.055524,634242600,-0.0234,-0.0078,1.0077
0.056662,634243738,-0.0234,-0.0083,1.0077
0.057845,634244921,-0.0229,-0.0083,1.0043
0.059001,634246077,-0.0234,-0.0073,1.0038
0.060141,634247217,-0.0268,-0.0059,1.0082
0.061279,634248355,-0.0249,-0.0044,1.0092
