# accel_live capture
# started_utc: 2026-09-07T14:01:08.231745+00:00
# source: /dev/cu.usbmodem101
# odr_hz_nominal: 1660
# accel_range_g: 16
# full ODR, undecimated - captured via the board's on-device
# RAM buffer and dumped after stop, not streamed live.
# t_s is relative to the first sample of this recording;
# t_us is the board's raw micros() reading for that sample.
# host_iso is host arrival time, for cross-reference only.
t_s,t_us,x_g,y_g,z_g,host_iso
0.000000,2496389149,-0.0249,-0.0146,1.0189,2026-09-07T14:01:13.798269+00:00
0.001036,2496390185,-0.0268,-0.0156,1.0209,2026-09-07T14:01:13.798372+00:00
0.002057,2496391206,-0.0264,-0.0166,1.0204,2026-09-07T14:01:13.798397+00:00
0.003079,2496392228,-0.0268,-0.0117,1.0146,2026-09-07T14:01:13.798415+00:00
0.004100,2496393249,-0.0264,-0.0166,1.0170,2026-09-07T14:01:13.798497+00:00
0.005122,2496394271,-0.0283,-0.0205,1.0170,2026-09-07T14:01:13.801891+00:00
0.006143,2496395292,-0.0288,-0.0190,1.0155,2026-09-07T14:01:13.803127+00:00
0.007165,2496396314,-0.0288,-0.0234,1.0160,2026-09-07T14:01:13.806421+00:00
0.008214,2496397363,-0.0239,-0.0234,1.0160,2026-09-07T14:01:13.808507+00:00
0.009267,2496398416,-0.0239,-0.0181,1.0160,2026-09-07T14:01:13.812516+00:00
0.010289,2496399438,-0.0288,-0.0254,1.0116,2026-09-07T14:01:13.813208+00:00
0.011311,2496400460,-0.0327,-0.0215,1.0092,2026-09-07T14:01:13.820246+00:00
0.012333,2496401482,-0.0337,-0.0220,1.0189,2026-09-07T14:01:13.820287+00:00
0.013363,2496402512,-0.0307,-0.0181,1.0224,2026-09-07T14:01:13.820296+00:00
0.014384,2496403533,-0.0264,-0.0176,1.0209,2026-09-07T14:01:13.822737+00:00
0.015408,2496404557,-0.0205,-0.0151,1.0224,2026-09-07T14:01:13.825566+00:00
0.016432,2496405581,-0.0190,-0.0166,1.0185,2026-09-07T14:01:13.827472+00:00
0.017454,2496406603,-0.0195,-0.0200,1.0155,2026-09-07T14:01:13.830688+00:00
0.018475,2496407624,-0.0137,-0.0161,1.0131,2026-09-07T14:01:13.832499+00:00
0.019503,2496408652,-0.0166,-0.0205,1.0175,2026-09-07T14:01:13.834789+00:00
