# AccelStream v4 capture
# written_utc: 2026-09-08T21:33:29.337945+00:00
# t_us is the board's raw micros() reading for that sample.
# t_s is relative to the first row of this file.
# on/set/go are the firmware's own beep timestamps, on the same
# micros() clock as every sample - no host or keypress latency.
# on_t_us: 495895427
# on_t_s: -18.695513
# set_t_us: 517486464
# set_t_s: 2.895524
# go_t_us: 518488467
# go_t_s: 3.897527
# preroll_samples: 2499
# truncated: 0
# dropped: 0
# clockstep_us: 8
t_s,t_us,x_g,y_g,z_g
0.000000,514590940,0.0961,-0.8106,-0.5856
0.001156,514592096,0.0981,-0.8111,-0.5876
0.002349,514593289,0.0966,-0.8106,-0.5866
0.003488,514594428,0.0966,-0.8106,-0.5861
0.004670,514595610,0.0956,-0.8115,-0.5866
0.005826,514596766,0.0956,-0.8086,-0.5851
0.006979,514597919,0.0961,-0.8106,-0.5817
0.008135,514599075,0.0937,-0.8125,-0.5807
0.009300,514600240,0.0932,-0.8111,-0.5817
0.010449,514601389,0.0937,-0.8091,-0.5836
0.011587,514602527,0.0922,-0.8072,-0.5827
0.012781,514603721,0.0922,-0.8076,-0.5802
0.013937,514604877,0.0942,-0.8086,-0.5793
0.015076,514606016,0.0966,-0.8091,-0.5788
0.016235,514607175,0.0976,-0.8111,-0.5807
0.017415,514608355,0.0956,-0.8115,-0.5802
0.018554,514609494,0.0942,-0.8101,-0.5783
0.019702,514610642,0.0961,-0.8091,-0.5797
0.020882,514611822,0.0976,-0.8091,-0.5797
0.022030,514612970,0.0971,-0.8091,-0.5797
0.023189,514614129,0.0976,-0.8081,-0.5822
0.024369,514615309,0.0981,-0.8062,-0.5797
0.025523,514616463,0.0971,-0.8052,-0.5788
0.026675,514617615,0.0961,-0.8101,-0.5812
0.027814,514618754,0.0981,-0.8115,-0.5827
0.028980,514619920,0.0986,-0.8086,-0.5832
0.030164,514621104,0.0971,-0.8076,-0.5822
0.031302,514622242,0.0961,-0.8072,-0.5822
0.032483,514623423,0.0942,-0.8101,-0.5832
0.033621,514624561,0.0937,-0.8125,-0.5861
0.034802,514625742,0.0937,-0.8111,-0.5856
0.035925,514626865,0.0937,-0.8091,-0.5841
0.037149,514628089,0.0966,-0.8067,-0.5856
0.038249,514629189,0.0981,-0.8067,-0.5866
0.039429,514630369,0.0971,-0.8067,-0.5871
0.040567,514631507,0.0927,-0.8091,-0.5861
0.041747,514632687,0.0913,-0.8111,-0.5846
0.042900,514633840,0.0947,-0.8115,-0.5861
0.044056,514634996,0.0956,-0.8125,-0.5861
0.045208,514636148,0.0971,-0.8115,-0.5856
0.046388,514637328,0.0952,-0.8135,-0.5876
0.047532,514638472,0.0913,-0.8150,-0.5885
0.048671,514639611,0.0922,-0.8140,-0.5924
0.049851,514640791,0.0927,-0.8150,-0.5919
0.050990,514641930,0.0942,-0.8154,-0.5861
0.052147,514643087,0.0961,-0.8140,-0.5866
0.053328,514644268,0.0986,-0.8159,-0.5905
0.054466,514645406,0.0961,-0.8159,-0.5919
0.055646,514646586,0.0937,-0.8111,-0.5910
0.056785,514647725,0.0952,-0.8106,-0.5900
0.057995,514648935,0.0947,-0.8115,-0.5900
0.059135,514650075,0.0952,-0.8096,-0.5895
0.060274,514651214,0.0971,-0.8076,-0.5866
0.061417,514652357,0.0991,-0.8101,-0.5876
0.062598,514653538,0.0981,-0.8106,-0.5890
0.063736,514654676,0.0947,-0.8086,-0.5880
0.064915,514655855,0.0971,-0.8076,-0.5885
0.066099,514657039,0.0986,-0.8106,-0.5880
0.067243,514658183,0.0952,-0.8115,-0.5885
0.068382,514659322,0.0927,-0.8096,-0.5910
0.069562,514660502,0.0947,-0.8067,-0.5880
0.070701,514661641,0.0956,-0.8062,-0.5871
0.071849,514662789,0.0932,-0.8081,-0.5871
0.073032,514663972,0.0932,-0.8076,-0.5856
0.074187,514665127,0.0952,-0.8062,-0.5846
0.075325,514666265,0.0952,-0.8042,-0.5856
0.076506,514667446,0.0947,-0.8023,-0.5866
0.077644,514668584,0.0942,-0.8003,-0.5846
0.078801,514669741,0.0956,-0.8032,-0.5827
0.079998,514670938,0.0971,-0.8052,-0.5832
0.081150,514672090,0.0971,-0.8057,-0.5832
0.082288,514673228,0.0952,-0.8042,-0.5832
0.083469,514674409,0.0942,-0.8032,-0.5841
0.084607,514675547,0.0947,-0.8057,-0.5822
0.085787,514676727,0.0917,-0.8042,-0.5812
0.086944,514677884,0.0937,-0.8023,-0.5822
0.088095,514679035,0.0947,-0.8052,-0.5817
0.089233,514680173,0.0942,-0.8052,-0.5817
0.090414,514681354,0.0942,-0.8052,-0.5807
0.091562,514682502,0.0917,-0.8076,-0.5827
0.092742,514683682,0.0961,-0.8052,-0.5846
0.093891,514684831,0.0981,-0.8047,-0.5846
0.095049,514685989,0.0961,-0.8057,-0.5841
0.096187,514687127,0.0961,-0.8062,-0.5827
0.097368,514688308,0.0932,-0.8062,-0.5827
0.098506,514689446,0.0942,-0.8037,-0.5827
0.099686,514690626,0.0961,-0.8067,-0.5832
0.100844,514691784,0.0956,-0.8106,-0.5832
0.102027,514692967,0.0947,-0.8106,-0.5836
0.103168,514694108,0.0927,-0.8106,-0.5876
0.104307,514695247,0.0947,-0.8111,-0.5861
0.105487,514696427,0.0956,-0.8101,-0.5851
0.106626,514697566,0.0961,-0.8086,-0.5851
0.107807,514698747,0.0966,-0.8101,-0.5866
0.108990,514699930,0.0971,-0.8135,-0.5880
