# accel_live capture
# started_utc: 2026-09-03T12:33:00.953876+00:00
# source: /dev/cu.usbmodem101
# odr_hz_nominal: 416
# accel_range_g: 8
# t_s is relative to the first sample of this recording;
# t_us is the board's raw micros() reading for that sample.
# host_iso is host arrival time, for cross-reference only.
t_s,t_us,x_g,y_g,z_g,host_iso
0.289489,172554858,0.0239,-0.0361,1.0189,2026-09-03T12:33:01.247877+00:00
0.293807,172559176,0.0249,-0.0359,1.0172,2026-09-03T12:33:01.252122+00:00
0.298104,172563473,0.0261,-0.0342,1.0160,2026-09-03T12:33:01.256445+00:00
0.302336,172567705,0.0246,-0.0356,1.0165,2026-09-03T12:33:01.264572+00:00
0.306567,172571936,0.0259,-0.0346,1.0163,2026-09-03T12:33:01.265547+00:00
0.310859,172576228,0.0232,-0.0342,1.0172,2026-09-03T12:33:01.269831+00:00
0.315173,172580542,0.0249,-0.0342,1.0180,2026-09-03T12:33:01.273791+00:00
0.319526,172584895,0.0249,-0.0342,1.0175,2026-09-03T12:33:01.278197+00:00
0.323992,172589361,0.0242,-0.0337,1.0199,2026-09-03T12:33:01.283086+00:00
0.328227,172593596,0.0227,-0.0334,1.0175,2026-09-03T12:33:01.287653+00:00
0.332471,172597840,0.0239,-0.0327,1.0165,2026-09-03T12:33:01.291292+00:00
0.336940,172602309,0.0246,-0.0346,1.0177,2026-09-03T12:33:01.295469+00:00
0.341168,172606537,0.0242,-0.0354,1.0172,2026-09-03T12:33:01.299957+00:00
0.345600,172610969,0.0244,-0.0359,1.0165,2026-09-03T12:33:01.304168+00:00
0.349911,172615280,0.0244,-0.0361,1.0177,2026-09-03T12:33:01.308479+00:00
0.354171,172619540,0.0256,-0.0378,1.0160,2026-09-03T12:33:01.312887+00:00
0.358543,172623912,0.0254,-0.0366,1.0163,2026-09-03T12:33:01.317158+00:00
0.362862,172628231,0.0254,-0.0356,1.0175,2026-09-03T12:33:01.321489+00:00
0.367131,172632500,0.0242,-0.0349,1.0182,2026-09-03T12:33:01.325884+00:00
0.371509,172636878,0.0244,-0.0356,1.0177,2026-09-03T12:33:01.330283+00:00
0.375852,172641221,0.0246,-0.0349,1.0172,2026-09-03T12:33:01.334637+00:00
0.380198,172645567,0.0234,-0.0356,1.0158,2026-09-03T12:33:01.338894+00:00
0.384466,172649835,0.0254,-0.0354,1.0172,2026-09-03T12:33:01.343284+00:00
0.388836,172654205,0.0244,-0.0349,1.0180,2026-09-03T12:33:01.347670+00:00
0.393208,172658577,0.0234,-0.0346,1.0187,2026-09-03T12:33:01.352070+00:00
0.397578,172662947,0.0249,-0.0346,1.0172,2026-09-03T12:33:01.356436+00:00
0.401955,172667324,0.0234,-0.0359,1.0199,2026-09-03T12:33:01.360700+00:00
0.406213,172671582,0.0259,-0.0346,1.0182,2026-09-03T12:33:01.365115+00:00
0.410604,172675973,0.0239,-0.0356,1.0175,2026-09-03T12:33:01.369526+00:00
0.415020,172680389,0.0249,-0.0364,1.0163,2026-09-03T12:33:01.373948+00:00
0.419370,172684739,0.0246,-0.0364,1.0167,2026-09-03T12:33:01.378204+00:00
0.423660,172689029,0.0239,-0.0354,1.0167,2026-09-03T12:33:01.382587+00:00
0.428014,172693383,0.0242,-0.0364,1.0177,2026-09-03T12:33:01.386934+00:00
0.432353,172697722,0.0237,-0.0349,1.0182,2026-09-03T12:33:01.391406+00:00
0.436816,172702185,0.0242,-0.0356,1.0167,2026-09-03T12:33:01.395684+00:00
0.441055,172706424,0.0237,-0.0366,1.0172,2026-09-03T12:33:01.400153+00:00
0.445558,172710927,0.0251,-0.0359,1.0170,2026-09-03T12:33:01.404465+00:00
0.449800,172715169,0.0242,-0.0351,1.0163,2026-09-03T12:33:01.408827+00:00
0.454183,172719552,0.0246,-0.0361,1.0167,2026-09-03T12:33:01.413233+00:00
0.458545,172723914,0.0251,-0.0351,1.0158,2026-09-03T12:33:01.417559+00:00
0.462826,172728195,0.0237,-0.0346,1.0160,2026-09-03T12:33:01.421944+00:00
0.467180,172732549,0.0249,-0.0349,1.0180,2026-09-03T12:33:01.426211+00:00
0.471459,172736828,0.0249,-0.0356,1.0167,2026-09-03T12:33:01.430445+00:00
0.475754,172741123,0.0249,-0.0359,1.0170,2026-09-03T12:33:01.434829+00:00
0.480074,172745443,0.0244,-0.0349,1.0172,2026-09-03T12:33:01.439099+00:00
0.484385,172749754,0.0242,-0.0364,1.0180,2026-09-03T12:33:01.443509+00:00
0.488716,172754085,0.0244,-0.0356,1.0177,2026-09-03T12:33:01.447850+00:00
0.493025,172758394,0.0246,-0.0356,1.0177,2026-09-03T12:33:01.452277+00:00
0.497402,172762771,0.0244,-0.0359,1.0180,2026-09-03T12:33:01.456591+00:00
0.501716,172767085,0.0251,-0.0342,1.0160,2026-09-03T12:33:01.463968+00:00
0.506079,172771448,0.0254,-0.0368,1.0192,2026-09-03T12:33:01.465325+00:00
0.510397,172775766,0.0249,-0.0351,1.0172,2026-09-03T12:33:01.469808+00:00
0.514723,172780092,0.0249,-0.0356,1.0175,2026-09-03T12:33:01.474306+00:00
0.519091,172784460,0.0254,-0.0346,1.0177,2026-09-03T12:33:01.478352+00:00
0.523320,172788689,0.0242,-0.0349,1.0172,2026-09-03T12:33:01.482567+00:00
0.527594,172792963,0.0246,-0.0344,1.0160,2026-09-03T12:33:01.486959+00:00
0.531934,172797303,0.0246,-0.0349,1.0180,2026-09-03T12:33:01.491194+00:00
0.536236,172801605,0.0268,-0.0346,1.0165,2026-09-03T12:33:01.495750+00:00
0.540546,172805915,0.0251,-0.0339,1.0172,2026-09-03T12:33:01.500068+00:00
0.544909,172810278,0.0246,-0.0359,1.0170,2026-09-03T12:33:01.504209+00:00
0.549197,172814566,0.0246,-0.0346,1.0155,2026-09-03T12:33:01.508463+00:00
0.553492,172818861,0.0244,-0.0346,1.0165,2026-09-03T12:33:01.512865+00:00
0.557817,172823186,0.0246,-0.0342,1.0185,2026-09-03T12:33:01.517141+00:00
0.562144,172827513,0.0249,-0.0351,1.0180,2026-09-03T12:33:01.521483+00:00
0.566418,172831787,0.0239,-0.0351,1.0172,2026-09-03T12:33:01.525938+00:00
0.570875,172836244,0.0254,-0.0361,1.0175,2026-09-03T12:33:01.530449+00:00
0.575365,172840734,0.0239,-0.0359,1.0170,2026-09-03T12:33:01.534881+00:00
0.579734,172845103,0.0249,-0.0354,1.0158,2026-09-03T12:33:01.539122+00:00
0.584061,172849430,0.0239,-0.0342,1.0180,2026-09-03T12:33:01.543496+00:00
0.588389,172853758,0.0244,-0.0356,1.0172,2026-09-03T12:33:01.547916+00:00
0.592732,172858101,0.0249,-0.0346,1.0165,2026-09-03T12:33:01.552252+00:00
0.597069,172862438,0.0254,-0.0337,1.0175,2026-09-03T12:33:01.556603+00:00
0.601390,172866759,0.0244,-0.0349,1.0182,2026-09-03T12:33:01.560912+00:00
0.605667,172871036,0.0234,-0.0351,1.0177,2026-09-03T12:33:01.565140+00:00
0.609992,172875361,0.0239,-0.0359,1.0177,2026-09-03T12:33:01.569515+00:00
0.614307,172879676,0.0246,-0.0359,1.0180,2026-09-03T12:33:01.573962+00:00
0.618664,172884033,0.0249,-0.0342,1.0180,2026-09-03T12:33:01.578224+00:00
0.622958,172888327,0.0251,-0.0351,1.0175,2026-09-03T12:33:01.582616+00:00
0.627328,172892697,0.0232,-0.0344,1.0177,2026-09-03T12:33:01.586878+00:00
0.631576,172896945,0.0227,-0.0361,1.0172,2026-09-03T12:33:01.591284+00:00
0.635936,172901305,0.0242,-0.0366,1.0175,2026-09-03T12:33:01.595679+00:00
0.640307,172905676,0.0237,-0.0359,1.0185,2026-09-03T12:33:01.600098+00:00
0.644707,172910076,0.0256,-0.0364,1.0182,2026-09-03T12:33:01.604397+00:00
0.648998,172914367,0.0256,-0.0344,1.0182,2026-09-03T12:33:01.608740+00:00
0.653327,172918696,0.0232,-0.0349,1.0182,2026-09-03T12:33:01.613144+00:00
0.657809,172923178,0.0244,-0.0351,1.0180,2026-09-03T12:33:01.617475+00:00
0.662094,172927463,0.0254,-0.0346,1.0167,2026-09-03T12:33:01.621853+00:00
0.666440,172931809,0.0237,-0.0364,1.0182,2026-09-03T12:33:01.626234+00:00
0.670796,172936165,0.0261,-0.0346,1.0167,2026-09-03T12:33:01.630602+00:00
0.675118,172940487,0.0256,-0.0356,1.0172,2026-09-03T12:33:01.634859+00:00
0.679389,172944758,0.0249,-0.0337,1.0172,2026-09-03T12:33:01.639126+00:00
0.683674,172949043,0.0237,-0.0359,1.0167,2026-09-03T12:33:01.643435+00:00
0.687957,172953326,0.0249,-0.0346,1.0177,2026-09-03T12:33:01.647868+00:00
0.692338,172957707,0.0237,-0.0346,1.0172,2026-09-03T12:33:01.652126+00:00
0.696624,172961993,0.0264,-0.0349,1.0150,2026-09-03T12:33:01.656441+00:00
0.700904,172966273,0.0249,-0.0368,1.0163,2026-09-03T12:33:01.664001+00:00
0.705286,172970655,0.0244,-0.0351,1.0175,2026-09-03T12:33:01.665302+00:00
0.709648,172975017,0.0242,-0.0361,1.0182,2026-09-03T12:33:01.669710+00:00
0.713920,172979289,0.0249,-0.0354,1.0170,2026-09-03T12:33:01.674584+00:00
0.718226,172983595,0.0237,-0.0346,1.0187,2026-09-03T12:33:01.678091+00:00
0.722483,172987852,0.0264,-0.0359,1.0165,2026-09-03T12:33:01.682546+00:00
0.726870,172992239,0.0251,-0.0346,1.0170,2026-09-03T12:33:01.687794+00:00
0.731188,172996557,0.0237,-0.0361,1.0165,2026-09-03T12:33:01.691241+00:00
0.735438,173000807,0.0239,-0.0344,1.0146,2026-09-03T12:33:01.695598+00:00
0.739826,173005195,0.0246,-0.0356,1.0163,2026-09-03T12:33:01.700721+00:00
0.744094,173009463,0.0239,-0.0342,1.0170,2026-09-03T12:33:01.704165+00:00
0.748426,173013795,0.0251,-0.0349,1.0165,2026-09-03T12:33:01.708465+00:00
0.752749,173018118,0.0249,-0.0346,1.0158,2026-09-03T12:33:01.712965+00:00
0.757149,173022518,0.0256,-0.0339,1.0163,2026-09-03T12:33:01.717234+00:00
0.761435,173026804,0.0232,-0.0346,1.0158,2026-09-03T12:33:01.721522+00:00
0.765735,173031104,0.0251,-0.0349,1.0165,2026-09-03T12:33:01.725975+00:00
0.770101,173035470,0.0234,-0.0349,1.0189,2026-09-03T12:33:01.730273+00:00
0.774386,173039755,0.0234,-0.0356,1.0172,2026-09-03T12:33:01.734501+00:00
0.778676,173044045,0.0246,-0.0359,1.0170,2026-09-03T12:33:01.738888+00:00
0.782988,173048357,0.0246,-0.0356,1.0167,2026-09-03T12:33:01.743123+00:00
0.787306,173052675,0.0244,-0.0351,1.0163,2026-09-03T12:33:01.747498+00:00
0.791500,173056869,0.0256,-0.0344,1.0160,2026-09-03T12:33:01.751800+00:00
0.795874,173061243,0.0259,-0.0346,1.0167,2026-09-03T12:33:01.756132+00:00
0.800182,173065551,0.0261,-0.0342,1.0163,2026-09-03T12:33:01.760544+00:00
0.804595,173069964,0.0261,-0.0351,1.0175,2026-09-03T12:33:01.764990+00:00
0.808961,173074330,0.0249,-0.0349,1.0146,2026-09-03T12:33:01.769278+00:00
0.813244,173078613,0.0259,-0.0356,1.0158,2026-09-03T12:33:01.773534+00:00
0.817541,173082910,0.0261,-0.0344,1.0175,2026-09-03T12:33:01.777882+00:00
0.821803,173087172,0.0249,-0.0344,1.0185,2026-09-03T12:33:01.782152+00:00
0.826162,173091531,0.0246,-0.0359,1.0194,2026-09-03T12:33:01.786545+00:00
0.830473,173095842,0.0237,-0.0349,1.0185,2026-09-03T12:33:01.790907+00:00
0.834808,173100177,0.0251,-0.0349,1.0163,2026-09-03T12:33:01.795281+00:00
0.839162,173104531,0.0251,-0.0354,1.0185,2026-09-03T12:33:01.799705+00:00
0.843554,173108923,0.0264,-0.0351,1.0185,2026-09-03T12:33:01.804118+00:00
0.847919,173113288,0.0256,-0.0349,1.0158,2026-09-03T12:33:01.808476+00:00
0.852314,173117683,0.0224,-0.0354,1.0185,2026-09-03T12:33:01.812775+00:00
0.856543,173121912,0.0254,-0.0354,1.0170,2026-09-03T12:33:01.817060+00:00
0.860828,173126197,0.0264,-0.0346,1.0163,2026-09-03T12:33:01.821379+00:00
0.865129,173130498,0.0271,-0.0366,1.0170,2026-09-03T12:33:01.825784+00:00
0.869483,173134852,0.0237,-0.0332,1.0167,2026-09-03T12:33:01.830091+00:00
0.873827,173139196,0.0232,-0.0356,1.0177,2026-09-03T12:33:01.834459+00:00
0.878216,173143585,0.0251,-0.0366,1.0175,2026-09-03T12:33:01.838773+00:00
0.882446,173147815,0.0239,-0.0371,1.0182,2026-09-03T12:33:01.843060+00:00
0.886744,173152113,0.0249,-0.0368,1.0172,2026-09-03T12:33:01.847361+00:00
0.891037,173156406,0.0244,-0.0351,1.0163,2026-09-03T12:33:01.851746+00:00
0.895394,173160763,0.0237,-0.0344,1.0172,2026-09-03T12:33:01.856034+00:00
0.899645,173165014,0.0242,-0.0346,1.0185,2026-09-03T12:33:01.865177+00:00
0.904122,173169491,0.0242,-0.0346,1.0170,2026-09-03T12:33:01.865189+00:00
0.908328,173173697,0.0237,-0.0356,1.0172,2026-09-03T12:33:01.869084+00:00
0.912725,173178094,0.0249,-0.0364,1.0170,2026-09-03T12:33:01.874088+00:00
0.916974,173182343,0.0259,-0.0339,1.0187,2026-09-03T12:33:01.877977+00:00
0.921338,173186707,0.0271,-0.0346,1.0170,2026-09-03T12:33:01.882196+00:00
0.925698,173191067,0.0246,-0.0349,1.0187,2026-09-03T12:33:01.887680+00:00
0.930099,173195468,0.0249,-0.0351,1.0172,2026-09-03T12:33:01.891011+00:00
